NUMERO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD_SOLICITADA;CANTIDAD_RECIBIDA;COD_PROVEEDOR_ELEGIDO;FECHA_CREACION;FECHA_MAXIMA_PROPUESTAS;FECHA_ESPERADA_ENTREGA;FECHA_ENTREGA;CALIFICACION_ENTREGA;HA_SIDO_ELEGIDA;HA_SIDO_SATISFECHA;
9650376;57;22;10;0;NULL;TO_DATE('2014-04-15','YYYY-MM-DD');TO_TIMESTAMP('2014-04-23 09:00:05','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4509823;68;2;6;6;'go36@gmail.com';TO_DATE('2014-02-21','YYYY-MM-DD');TO_TIMESTAMP('2014-02-22 23:09:06','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-03-01','YYYY-MM-DD');TO_DATE('2014-03-05','YYYY-MM-DD');1;'Si';'Si';
4295791;65;22;1;0;'roha13@uniandes.edu.co';TO_DATE('2014-01-23','YYYY-MM-DD');TO_TIMESTAMP('2014-01-24 02:16:25','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-02-07','YYYY-MM-DD');NULL;NULL;'Si';'No';
3754903;62;17;19;0;'xe60@hotmail.com';TO_DATE('2013-11-09','YYYY-MM-DD');TO_TIMESTAMP('2013-11-17 06:30:34','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-11-27','YYYY-MM-DD');NULL;NULL;'Si';'No';
7591666;68;1;7;0;'zufo3@hotmail.com';TO_DATE('2014-01-02','YYYY-MM-DD');TO_TIMESTAMP('2014-01-12 17:10:17','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-01-26','YYYY-MM-DD');NULL;NULL;'Si';'No';
8293358;63;20;18;18;'tu39@yahoo.com';TO_DATE('2013-06-13','YYYY-MM-DD');TO_TIMESTAMP('2013-06-20 21:50:14','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-06-28','YYYY-MM-DD');TO_DATE('2013-06-24','YYYY-MM-DD');5;'Si';'Si';
1525823;41;29;6;0;NULL;TO_DATE('2013-11-01','YYYY-MM-DD');TO_TIMESTAMP('2013-11-04 18:34:39','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
7576714;43;22;14;0;'juzo69@yahoo.com';TO_DATE('2014-01-31','YYYY-MM-DD');TO_TIMESTAMP('2014-02-04 02:34:21','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-02-19','YYYY-MM-DD');NULL;NULL;'Si';'No';
5460475;69;7;3;0;NULL;TO_DATE('2014-01-09','YYYY-MM-DD');TO_TIMESTAMP('2014-01-17 15:28:28','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
712018;32;16;17;22;'paki19@yahoo.com';TO_DATE('2013-09-26','YYYY-MM-DD');TO_TIMESTAMP('2013-09-29 10:10:42','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-10-08','YYYY-MM-DD');TO_DATE('2013-10-04','YYYY-MM-DD');5;'Si';'Si';
5345442;67;8;10;10;'kido42@uniandes.edu.co';TO_DATE('2014-03-17','YYYY-MM-DD');TO_TIMESTAMP('2014-03-20 09:53:04','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-03-29','YYYY-MM-DD');TO_DATE('2014-03-27','YYYY-MM-DD');5;'Si';'Si';
8347130;70;8;9;0;NULL;TO_DATE('2013-12-22','YYYY-MM-DD');TO_TIMESTAMP('2013-12-22 23:50:16','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
8739693;62;12;4;0;NULL;TO_DATE('2014-01-19','YYYY-MM-DD');TO_TIMESTAMP('2014-01-21 19:06:32','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
6274315;56;29;9;17;'rofi34@gmail.com';TO_DATE('2013-07-04','YYYY-MM-DD');TO_TIMESTAMP('2013-07-13 18:13:50','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-07-28','YYYY-MM-DD');TO_DATE('2013-08-01','YYYY-MM-DD');1;'Si';'Si';
2687953;69;6;6;12;'lo35@uniandes.edu.co';TO_DATE('2014-03-26','YYYY-MM-DD');TO_TIMESTAMP('2014-04-02 00:20:51','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-04-10','YYYY-MM-DD');TO_DATE('2014-04-06','YYYY-MM-DD');5;'Si';'Si';
3845339;62;22;7;0;'re16@uniandes.edu.co';TO_DATE('2013-04-18','YYYY-MM-DD');TO_TIMESTAMP('2013-04-19 05:02:36','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-04-27','YYYY-MM-DD');NULL;NULL;'Si';'No';
9162539;53;11;12;14;'lu59@uniandes.edu.co';TO_DATE('2013-09-29','YYYY-MM-DD');TO_TIMESTAMP('2013-09-30 19:05:45','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-10-10','YYYY-MM-DD');TO_DATE('2013-10-13','YYYY-MM-DD');2;'Si';'Si';
7912482;41;15;8;0;'joca23@hotmail.com';TO_DATE('2013-11-29','YYYY-MM-DD');TO_TIMESTAMP('2013-12-04 15:49:27','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-12-19','YYYY-MM-DD');NULL;NULL;'Si';'No';
3975470;53;14;15;0;NULL;TO_DATE('2013-11-21','YYYY-MM-DD');TO_TIMESTAMP('2013-11-29 17:26:45','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
5504740;70;3;4;0;'peqe75@gmail.com';TO_DATE('2013-05-24','YYYY-MM-DD');TO_TIMESTAMP('2013-05-29 07:13:59','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-06-11','YYYY-MM-DD');NULL;NULL;'Si';'No';
6991849;67;6;20;0;NULL;TO_DATE('2013-06-01','YYYY-MM-DD');TO_TIMESTAMP('2013-06-08 08:28:14','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
1757000;40;11;19;19;'ko62@hotmail.com';TO_DATE('2013-11-02','YYYY-MM-DD');TO_TIMESTAMP('2013-11-12 05:21:43','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-11-21','YYYY-MM-DD');TO_DATE('2013-11-21','YYYY-MM-DD');5;'Si';'Si';
77691;15;23;3;6;'ke46@gmail.com';TO_DATE('2013-08-01','YYYY-MM-DD');TO_TIMESTAMP('2013-08-07 12:59:37','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-08-17','YYYY-MM-DD');TO_DATE('2013-08-20','YYYY-MM-DD');2;'Si';'Si';
4386914;3;30;9;11;'le97@uniandes.edu.co';TO_DATE('2014-01-09','YYYY-MM-DD');TO_TIMESTAMP('2014-01-15 10:43:43','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-01-22','YYYY-MM-DD');TO_DATE('2014-01-27','YYYY-MM-DD');0;'Si';'Si';
8196730;69;6;5;0;NULL;TO_DATE('2013-12-21','YYYY-MM-DD');TO_TIMESTAMP('2013-12-25 10:49:27','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
1173486;72;2;16;0;'zufo3@hotmail.com';TO_DATE('2013-06-11','YYYY-MM-DD');TO_TIMESTAMP('2013-06-20 19:17:46','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-06-28','YYYY-MM-DD');NULL;NULL;'Si';'No';
4732002;64;21;6;0;'roha13@uniandes.edu.co';TO_DATE('2013-12-05','YYYY-MM-DD');TO_TIMESTAMP('2013-12-05 22:56:29','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-12-15','YYYY-MM-DD');NULL;NULL;'Si';'No';
2482548;72;8;19;0;NULL;TO_DATE('2013-08-03','YYYY-MM-DD');TO_TIMESTAMP('2013-08-14 04:12:09','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
2888993;71;6;10;0;NULL;TO_DATE('2013-05-28','YYYY-MM-DD');TO_TIMESTAMP('2013-06-01 15:50:16','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
