NUMERO;COD_USUARIO;FECHA_CREACION;FECHA_ESPERADA_ENTREGA;FECHA_ENTREGA;PRECIO_CABANDES;HA_SIDO_CANCELADO;HA_SIDO_ENTREGADO;
809908;'mumu25@yahoo.com';TO_DATE('2013-07-05','YYYY-MM-DD');TO_DATE('2013-07-16','YYYY-MM-DD');TO_DATE('2013-07-14','YYYY-MM-DD');192135;'No';'Si';
3836406;'ridu12@gmail.com';TO_DATE('2013-04-21','YYYY-MM-DD');TO_DATE('2013-05-02','YYYY-MM-DD');NULL;86084;'No';'No';
6280881;'va26@gmail.com';TO_DATE('2014-01-27','YYYY-MM-DD');TO_DATE('2014-02-04','YYYY-MM-DD');NULL;116307;'Si';'No';
5320373;'kevu17@gmail.com';TO_DATE('2013-06-24','YYYY-MM-DD');TO_DATE('2013-07-07','YYYY-MM-DD');NULL;103064;'No';'No';
3310876;'qati23@yahoo.com';TO_DATE('2013-05-25','YYYY-MM-DD');TO_DATE('2013-06-09','YYYY-MM-DD');TO_DATE('2013-06-12','YYYY-MM-DD');132120;'No';'Si';
236826;'ko82@gmail.com';TO_DATE('2013-10-03','YYYY-MM-DD');TO_DATE('2013-10-17','YYYY-MM-DD');NULL;253665;'Si';'No';
5139765;'hidi1@hotmail.com';TO_DATE('2014-04-12','YYYY-MM-DD');TO_DATE('2014-04-21','YYYY-MM-DD');NULL;55855;'No';'No';
9697749;'buza67@gmail.com';TO_DATE('2013-07-13','YYYY-MM-DD');TO_DATE('2013-07-26','YYYY-MM-DD');NULL;224350;'Si';'No';
8041497;'kevu17@gmail.com';TO_DATE('2014-01-28','YYYY-MM-DD');TO_DATE('2014-02-04','YYYY-MM-DD');NULL;70534;'Si';'No';
7168842;'ka83@gmail.com';TO_DATE('2014-03-16','YYYY-MM-DD');TO_DATE('2014-03-25','YYYY-MM-DD');NULL;127072;'Si';'No';
2444452;'ha61@gmail.com';TO_DATE('2013-11-14','YYYY-MM-DD');TO_DATE('2013-11-26','YYYY-MM-DD');TO_DATE('2013-11-26','YYYY-MM-DD');52016;'No';'Si';
2038281;'dipa75@yahoo.com';TO_DATE('2013-09-24','YYYY-MM-DD');TO_DATE('2013-10-01','YYYY-MM-DD');NULL;268156;'No';'No';
8992111;'nolo72@uniandes.edu.co';TO_DATE('2013-06-29','YYYY-MM-DD');TO_DATE('2013-07-13','YYYY-MM-DD');NULL;52273;'No';'No';
2140492;'veki71@uniandes.edu.co';TO_DATE('2013-04-16','YYYY-MM-DD');TO_DATE('2013-04-29','YYYY-MM-DD');NULL;284349;'Si';'No';
9787525;'yidu85@hotmail.com';TO_DATE('2013-04-18','YYYY-MM-DD');TO_DATE('2013-04-25','YYYY-MM-DD');TO_DATE('2013-04-21','YYYY-MM-DD');105045;'No';'Si';
5652709;'suga36@uniandes.edu.co';TO_DATE('2013-04-26','YYYY-MM-DD');TO_DATE('2013-05-10','YYYY-MM-DD');NULL;128320;'Si';'No';
7736782;'ni36@yahoo.com';TO_DATE('2013-06-16','YYYY-MM-DD');TO_DATE('2013-06-27','YYYY-MM-DD');TO_DATE('2013-07-01','YYYY-MM-DD');16639;'No';'Si';
7973228;'fazo8@yahoo.com';TO_DATE('2013-06-16','YYYY-MM-DD');TO_DATE('2013-06-27','YYYY-MM-DD');TO_DATE('2013-06-26','YYYY-MM-DD');177144;'No';'Si';
5689446;'ku50@hotmail.com';TO_DATE('2014-02-27','YYYY-MM-DD');TO_DATE('2014-03-06','YYYY-MM-DD');NULL;136836;'Si';'No';
9107562;'nami42@uniandes.edu.co';TO_DATE('2013-11-26','YYYY-MM-DD');TO_DATE('2013-12-05','YYYY-MM-DD');NULL;58667;'No';'No';
85102;'la91@yahoo.com';TO_DATE('2013-12-03','YYYY-MM-DD');TO_DATE('2013-12-17','YYYY-MM-DD');TO_DATE('2013-12-22','YYYY-MM-DD');203094;'No';'Si';
9056609;'co11@uniandes.edu.co';TO_DATE('2014-01-23','YYYY-MM-DD');TO_DATE('2014-02-04','YYYY-MM-DD');NULL;35689;'No';'No';
7605450;'ki77@gmail.com';TO_DATE('2013-06-23','YYYY-MM-DD');TO_DATE('2013-07-08','YYYY-MM-DD');NULL;122711;'Si';'No';
295060;'me32@uniandes.edu.co';TO_DATE('2014-04-05','YYYY-MM-DD');TO_DATE('2014-04-12','YYYY-MM-DD');NULL;204707;'No';'No';
3151279;'peme19@hotmail.com';TO_DATE('2013-05-16','YYYY-MM-DD');TO_DATE('2013-05-25','YYYY-MM-DD');NULL;128852;'No';'No';
3569530;'pese65@gmail.com';TO_DATE('2013-05-03','YYYY-MM-DD');TO_DATE('2013-05-16','YYYY-MM-DD');TO_DATE('2013-05-16','YYYY-MM-DD');104286;'No';'Si';
4580849;'nu43@uniandes.edu.co';TO_DATE('2013-11-11','YYYY-MM-DD');TO_DATE('2013-11-22','YYYY-MM-DD');TO_DATE('2013-11-23','YYYY-MM-DD');269377;'No';'Si';
9967208;'qe80@uniandes.edu.co';TO_DATE('2013-04-26','YYYY-MM-DD');TO_DATE('2013-05-10','YYYY-MM-DD');NULL;294444;'No';'No';
1325127;'ko82@gmail.com';TO_DATE('2013-05-18','YYYY-MM-DD');TO_DATE('2013-05-30','YYYY-MM-DD');TO_DATE('2013-05-27','YYYY-MM-DD');41125;'No';'Si';
2013269;'qedi8@yahoo.com';TO_DATE('2013-12-07','YYYY-MM-DD');TO_DATE('2013-12-20','YYYY-MM-DD');NULL;160390;'No';'No';
1176769;'ki77@gmail.com';TO_DATE('2014-02-20','YYYY-MM-DD');TO_DATE('2014-03-05','YYYY-MM-DD');NULL;84956;'Si';'No';
6036303;'sefi96@uniandes.edu.co';TO_DATE('2014-01-30','YYYY-MM-DD');TO_DATE('2014-02-08','YYYY-MM-DD');TO_DATE('2014-02-12','YYYY-MM-DD');211967;'No';'Si';
4715069;'se30@hotmail.com';TO_DATE('2013-08-28','YYYY-MM-DD');TO_DATE('2013-09-08','YYYY-MM-DD');NULL;154746;'No';'No';
7403485;'vazo63@uniandes.edu.co';TO_DATE('2013-11-15','YYYY-MM-DD');TO_DATE('2013-11-23','YYYY-MM-DD');TO_DATE('2013-11-27','YYYY-MM-DD');28788;'No';'Si';
1849883;'ku51@uniandes.edu.co';TO_DATE('2014-02-22','YYYY-MM-DD');TO_DATE('2014-03-04','YYYY-MM-DD');NULL;143191;'No';'No';
1202835;'mumu25@yahoo.com';TO_DATE('2014-02-03','YYYY-MM-DD');TO_DATE('2014-02-16','YYYY-MM-DD');NULL;235397;'No';'No';
4952629;'benu23@uniandes.edu.co';TO_DATE('2013-11-07','YYYY-MM-DD');TO_DATE('2013-11-17','YYYY-MM-DD');NULL;261743;'No';'No';
6302869;'huqi23@gmail.com';TO_DATE('2013-08-29','YYYY-MM-DD');TO_DATE('2013-09-07','YYYY-MM-DD');NULL;139433;'No';'No';
7189976;'dimi33@gmail.com';TO_DATE('2014-04-02','YYYY-MM-DD');TO_DATE('2014-04-11','YYYY-MM-DD');NULL;134151;'Si';'No';
3154519;'ca37@uniandes.edu.co';TO_DATE('2014-02-21','YYYY-MM-DD');TO_DATE('2014-03-04','YYYY-MM-DD');TO_DATE('2014-03-01','YYYY-MM-DD');31391;'No';'Si';
2684525;'to95@gmail.com';TO_DATE('2013-07-20','YYYY-MM-DD');TO_DATE('2013-07-28','YYYY-MM-DD');NULL;169575;'No';'No';
1802616;'me32@uniandes.edu.co';TO_DATE('2014-03-26','YYYY-MM-DD');TO_DATE('2014-04-04','YYYY-MM-DD');NULL;70310;'No';'No';
4136377;'de37@uniandes.edu.co';TO_DATE('2013-05-18','YYYY-MM-DD');TO_DATE('2013-06-02','YYYY-MM-DD');NULL;29609;'No';'No';
1201544;'tuno67@gmail.com';TO_DATE('2013-09-29','YYYY-MM-DD');TO_DATE('2013-10-12','YYYY-MM-DD');NULL;164887;'No';'No';
6371218;'vofe30@yahoo.com';TO_DATE('2013-07-07','YYYY-MM-DD');TO_DATE('2013-07-22','YYYY-MM-DD');NULL;109487;'Si';'No';
6388102;'ge36@yahoo.com';TO_DATE('2013-06-08','YYYY-MM-DD');TO_DATE('2013-06-16','YYYY-MM-DD');TO_DATE('2013-06-16','YYYY-MM-DD');187280;'No';'Si';
4236521;'benu23@uniandes.edu.co';TO_DATE('2014-01-12','YYYY-MM-DD');TO_DATE('2014-01-26','YYYY-MM-DD');NULL;207482;'No';'No';
2739065;'nu43@uniandes.edu.co';TO_DATE('2014-04-11','YYYY-MM-DD');TO_DATE('2014-04-26','YYYY-MM-DD');NULL;152865;'No';'No';
6459258;'veki71@uniandes.edu.co';TO_DATE('2013-05-11','YYYY-MM-DD');TO_DATE('2013-05-25','YYYY-MM-DD');TO_DATE('2013-05-22','YYYY-MM-DD');253074;'No';'Si';
552672;'ko82@gmail.com';TO_DATE('2013-07-31','YYYY-MM-DD');TO_DATE('2013-08-13','YYYY-MM-DD');NULL;197724;'Si';'No';
1044402;'ko82@gmail.com';TO_DATE('2014-04-14','YYYY-MM-DD');TO_DATE('2014-04-23','YYYY-MM-DD');TO_DATE('2014-04-24','YYYY-MM-DD');169376;'No';'Si';
2687177;'robi10@yahoo.com';TO_DATE('2013-09-11','YYYY-MM-DD');TO_DATE('2013-09-22','YYYY-MM-DD');NULL;236287;'No';'No';
5984627;'ka83@gmail.com';TO_DATE('2013-09-14','YYYY-MM-DD');TO_DATE('2013-09-25','YYYY-MM-DD');NULL;71590;'No';'No';
2262753;'hidi1@hotmail.com';TO_DATE('2013-07-16','YYYY-MM-DD');TO_DATE('2013-07-23','YYYY-MM-DD');NULL;134763;'No';'No';
1259464;'jiya59@yahoo.com';TO_DATE('2013-10-08','YYYY-MM-DD');TO_DATE('2013-10-17','YYYY-MM-DD');NULL;167971;'Si';'No';
3181455;'lu59@gmail.com';TO_DATE('2013-09-02','YYYY-MM-DD');TO_DATE('2013-09-13','YYYY-MM-DD');TO_DATE('2013-09-08','YYYY-MM-DD');171220;'No';'Si';
6425107;'ya89@yahoo.com';TO_DATE('2014-02-27','YYYY-MM-DD');TO_DATE('2014-03-14','YYYY-MM-DD');TO_DATE('2014-03-12','YYYY-MM-DD');93723;'No';'Si';
4612858;'fapa49@uniandes.edu.co';TO_DATE('2013-09-15','YYYY-MM-DD');TO_DATE('2013-09-24','YYYY-MM-DD');TO_DATE('2013-09-20','YYYY-MM-DD');269346;'No';'Si';
2110902;'ni44@uniandes.edu.co';TO_DATE('2013-08-27','YYYY-MM-DD');TO_DATE('2013-09-08','YYYY-MM-DD');TO_DATE('2013-09-13','YYYY-MM-DD');235873;'No';'Si';
5052454;'cugu88@gmail.com';TO_DATE('2014-02-11','YYYY-MM-DD');TO_DATE('2014-02-21','YYYY-MM-DD');NULL;154369;'No';'No';
5420787;'nuku12@yahoo.com';TO_DATE('2013-07-21','YYYY-MM-DD');TO_DATE('2013-07-28','YYYY-MM-DD');TO_DATE('2013-07-30','YYYY-MM-DD');65377;'No';'Si';
3339246;'nuku12@yahoo.com';TO_DATE('2013-09-12','YYYY-MM-DD');TO_DATE('2013-09-21','YYYY-MM-DD');NULL;292329;'No';'No';
9441846;'sefi96@uniandes.edu.co';TO_DATE('2014-01-07','YYYY-MM-DD');TO_DATE('2014-01-20','YYYY-MM-DD');TO_DATE('2014-01-17','YYYY-MM-DD');211085;'No';'Si';
6303319;'qedi8@yahoo.com';TO_DATE('2013-10-14','YYYY-MM-DD');TO_DATE('2013-10-23','YYYY-MM-DD');TO_DATE('2013-10-23','YYYY-MM-DD');96805;'No';'Si';
8876023;'fali22@gmail.com';TO_DATE('2013-10-10','YYYY-MM-DD');TO_DATE('2013-10-21','YYYY-MM-DD');TO_DATE('2013-10-18','YYYY-MM-DD');292566;'No';'Si';
4973730;'qisa5@uniandes.edu.co';TO_DATE('2013-12-23','YYYY-MM-DD');TO_DATE('2014-01-05','YYYY-MM-DD');NULL;232141;'No';'No';
9654347;'vofe30@yahoo.com';TO_DATE('2013-06-04','YYYY-MM-DD');TO_DATE('2013-06-19','YYYY-MM-DD');TO_DATE('2013-06-21','YYYY-MM-DD');249102;'No';'Si';
8911204;'yidu85@hotmail.com';TO_DATE('2013-08-19','YYYY-MM-DD');TO_DATE('2013-08-31','YYYY-MM-DD');TO_DATE('2013-08-31','YYYY-MM-DD');94758;'No';'Si';
6269222;'nu43@uniandes.edu.co';TO_DATE('2013-08-18','YYYY-MM-DD');TO_DATE('2013-08-31','YYYY-MM-DD');NULL;60270;'Si';'No';
1898189;'veki71@uniandes.edu.co';TO_DATE('2013-09-12','YYYY-MM-DD');TO_DATE('2013-09-26','YYYY-MM-DD');NULL;231853;'No';'No';
521445;'ku31@uniandes.edu.co';TO_DATE('2013-05-05','YYYY-MM-DD');TO_DATE('2013-05-18','YYYY-MM-DD');TO_DATE('2013-05-16','YYYY-MM-DD');225141;'No';'Si';
7009103;'va26@gmail.com';TO_DATE('2013-08-15','YYYY-MM-DD');TO_DATE('2013-08-23','YYYY-MM-DD');NULL;161413;'No';'No';
5495560;'huqi23@gmail.com';TO_DATE('2013-12-27','YYYY-MM-DD');TO_DATE('2014-01-06','YYYY-MM-DD');NULL;248134;'No';'No';
6097978;'la91@yahoo.com';TO_DATE('2014-01-04','YYYY-MM-DD');TO_DATE('2014-01-13','YYYY-MM-DD');TO_DATE('2014-01-18','YYYY-MM-DD');32751;'No';'Si';
5759654;'le82@hotmail.com';TO_DATE('2014-01-09','YYYY-MM-DD');TO_DATE('2014-01-21','YYYY-MM-DD');NULL;122223;'No';'No';
7254013;'beno69@gmail.com';TO_DATE('2014-02-13','YYYY-MM-DD');TO_DATE('2014-02-22','YYYY-MM-DD');NULL;91395;'Si';'No';
34150;'ko55@yahoo.com';TO_DATE('2014-03-31','YYYY-MM-DD');TO_DATE('2014-04-14','YYYY-MM-DD');TO_DATE('2014-04-10','YYYY-MM-DD');273025;'No';'Si';
4564766;'te97@gmail.com';TO_DATE('2013-12-18','YYYY-MM-DD');TO_DATE('2013-12-31','YYYY-MM-DD');TO_DATE('2013-12-27','YYYY-MM-DD');216018;'No';'Si';
2484872;'ruju50@yahoo.com';TO_DATE('2013-09-19','YYYY-MM-DD');TO_DATE('2013-10-03','YYYY-MM-DD');NULL;124833;'Si';'No';
543155;'mare65@hotmail.com';TO_DATE('2013-10-06','YYYY-MM-DD');TO_DATE('2013-10-14','YYYY-MM-DD');NULL;228330;'Si';'No';
1571502;'vazo63@uniandes.edu.co';TO_DATE('2014-01-24','YYYY-MM-DD');TO_DATE('2014-02-03','YYYY-MM-DD');NULL;35143;'Si';'No';
1299049;'ko82@gmail.com';TO_DATE('2013-09-08','YYYY-MM-DD');TO_DATE('2013-09-22','YYYY-MM-DD');TO_DATE('2013-09-23','YYYY-MM-DD');99007;'No';'Si';
6805391;'kevu17@gmail.com';TO_DATE('2013-11-22','YYYY-MM-DD');TO_DATE('2013-12-06','YYYY-MM-DD');NULL;204191;'No';'No';
7475885;'beno69@gmail.com';TO_DATE('2013-09-24','YYYY-MM-DD');TO_DATE('2013-10-05','YYYY-MM-DD');NULL;240042;'No';'No';
6308236;'fazo8@yahoo.com';TO_DATE('2014-03-20','YYYY-MM-DD');TO_DATE('2014-03-28','YYYY-MM-DD');NULL;264590;'No';'No';
9012015;'va26@gmail.com';TO_DATE('2013-10-08','YYYY-MM-DD');TO_DATE('2013-10-18','YYYY-MM-DD');TO_DATE('2013-10-18','YYYY-MM-DD');139296;'No';'Si';
7422218;'ni44@uniandes.edu.co';TO_DATE('2013-05-06','YYYY-MM-DD');TO_DATE('2013-05-15','YYYY-MM-DD');TO_DATE('2013-05-12','YYYY-MM-DD');53956;'No';'Si';
3164251;'ni36@yahoo.com';TO_DATE('2013-10-31','YYYY-MM-DD');TO_DATE('2013-11-10','YYYY-MM-DD');TO_DATE('2013-11-14','YYYY-MM-DD');274884;'No';'Si';
4759889;'cugu88@gmail.com';TO_DATE('2013-08-15','YYYY-MM-DD');TO_DATE('2013-08-26','YYYY-MM-DD');NULL;211791;'No';'No';
9866996;'hago6@uniandes.edu.co';TO_DATE('2013-08-14','YYYY-MM-DD');TO_DATE('2013-08-21','YYYY-MM-DD');TO_DATE('2013-08-16','YYYY-MM-DD');289027;'No';'Si';
8703469;'ku50@hotmail.com';TO_DATE('2014-01-02','YYYY-MM-DD');TO_DATE('2014-01-17','YYYY-MM-DD');NULL;216518;'No';'No';
1778761;'ni44@uniandes.edu.co';TO_DATE('2013-05-27','YYYY-MM-DD');TO_DATE('2013-06-08','YYYY-MM-DD');NULL;223195;'No';'No';
5515738;'pese65@gmail.com';TO_DATE('2013-11-30','YYYY-MM-DD');TO_DATE('2013-12-12','YYYY-MM-DD');NULL;100346;'No';'No';
7971127;'ki46@yahoo.com';TO_DATE('2014-03-16','YYYY-MM-DD');TO_DATE('2014-03-29','YYYY-MM-DD');NULL;198918;'No';'No';
6735166;'buza67@gmail.com';TO_DATE('2013-07-13','YYYY-MM-DD');TO_DATE('2013-07-28','YYYY-MM-DD');NULL;245566;'No';'No';
1870221;'me32@uniandes.edu.co';TO_DATE('2013-12-19','YYYY-MM-DD');TO_DATE('2013-12-31','YYYY-MM-DD');NULL;248050;'Si';'No';
3512274;'robi10@yahoo.com';TO_DATE('2013-09-30','YYYY-MM-DD');TO_DATE('2013-10-15','YYYY-MM-DD');NULL;285926;'No';'No';
354205;'daco57@hotmail.com';TO_DATE('2013-09-11','YYYY-MM-DD');TO_DATE('2013-09-23','YYYY-MM-DD');NULL;226293;'No';'No';
1127524;'suga36@uniandes.edu.co';TO_DATE('2014-01-06','YYYY-MM-DD');TO_DATE('2014-01-15','YYYY-MM-DD');TO_DATE('2014-01-12','YYYY-MM-DD');171681;'No';'Si';
803574;'ra4@gmail.com';TO_DATE('2013-10-02','YYYY-MM-DD');TO_DATE('2013-10-12','YYYY-MM-DD');TO_DATE('2013-10-07','YYYY-MM-DD');134147;'No';'Si';
908198;'ni44@uniandes.edu.co';TO_DATE('2013-04-23','YYYY-MM-DD');TO_DATE('2013-05-03','YYYY-MM-DD');NULL;119927;'No';'No';
3682337;'ra4@gmail.com';TO_DATE('2013-11-19','YYYY-MM-DD');TO_DATE('2013-11-27','YYYY-MM-DD');NULL;183324;'No';'No';
6577182;'sefi96@uniandes.edu.co';TO_DATE('2014-01-19','YYYY-MM-DD');TO_DATE('2014-01-28','YYYY-MM-DD');TO_DATE('2014-02-02','YYYY-MM-DD');69320;'No';'Si';
1306512;'ku31@uniandes.edu.co';TO_DATE('2013-10-16','YYYY-MM-DD');TO_DATE('2013-10-23','YYYY-MM-DD');TO_DATE('2013-10-28','YYYY-MM-DD');259811;'No';'Si';
2807990;'wenu82@gmail.com';TO_DATE('2014-04-01','YYYY-MM-DD');TO_DATE('2014-04-15','YYYY-MM-DD');TO_DATE('2014-04-13','YYYY-MM-DD');10815;'No';'Si';
6202087;'fo73@yahoo.com';TO_DATE('2014-02-05','YYYY-MM-DD');TO_DATE('2014-02-20','YYYY-MM-DD');NULL;148172;'No';'No';
5921829;'cu33@gmail.com';TO_DATE('2013-07-17','YYYY-MM-DD');TO_DATE('2013-07-25','YYYY-MM-DD');TO_DATE('2013-07-21','YYYY-MM-DD');194508;'No';'Si';
4917549;'ruju50@yahoo.com';TO_DATE('2013-08-13','YYYY-MM-DD');TO_DATE('2013-08-27','YYYY-MM-DD');NULL;75014;'Si';'No';
2718078;'ra4@gmail.com';TO_DATE('2013-11-19','YYYY-MM-DD');TO_DATE('2013-11-30','YYYY-MM-DD');NULL;177642;'Si';'No';
6950107;'mu11@uniandes.edu.co';TO_DATE('2013-06-17','YYYY-MM-DD');TO_DATE('2013-06-25','YYYY-MM-DD');NULL;159783;'Si';'No';
237348;'ku50@hotmail.com';TO_DATE('2013-10-02','YYYY-MM-DD');TO_DATE('2013-10-17','YYYY-MM-DD');NULL;125295;'Si';'No';
472022;'do2@gmail.com';TO_DATE('2013-06-23','YYYY-MM-DD');TO_DATE('2013-07-05','YYYY-MM-DD');NULL;22985;'No';'No';
5700052;'leli97@yahoo.com';TO_DATE('2013-11-29','YYYY-MM-DD');TO_DATE('2013-12-08','YYYY-MM-DD');NULL;282018;'No';'No';
8476754;'de37@uniandes.edu.co';TO_DATE('2013-07-18','YYYY-MM-DD');TO_DATE('2013-07-27','YYYY-MM-DD');TO_DATE('2013-07-28','YYYY-MM-DD');214304;'No';'Si';
4608843;'qipe68@gmail.com';TO_DATE('2014-02-05','YYYY-MM-DD');TO_DATE('2014-02-17','YYYY-MM-DD');NULL;218425;'No';'No';
2916346;'do4@uniandes.edu.co';TO_DATE('2013-10-26','YYYY-MM-DD');TO_DATE('2013-11-08','YYYY-MM-DD');NULL;190614;'No';'No';
