COD_LICITACION;COD_PROVEEDOR;PRECIO_TOTAL_OFRECIDO;PRECIO_UNITARIO;CANTIDAD_PIENSA_PROVEER;FECHA_ESPERADA_ENTREGA;NUMERO_LOTE;FECHA_EXPIRACION_LOTE;
5176134;'vazi20@hotmail.com';233962;46792;5;TO_DATE('2013-07-12','YYYY-MM-DD');6280094;TO_DATE('2014-04-05','YYYY-MM-DD');
5176134;'ya84@uniandes.edu.co';248025;41337;6;TO_DATE('2013-07-09','YYYY-MM-DD');8734061;TO_DATE('2013-11-01','YYYY-MM-DD');
6153990;'jaqe80@uniandes.edu.co';173254;34650;5;TO_DATE('2013-05-25','YYYY-MM-DD');8591432;TO_DATE('2013-06-06','YYYY-MM-DD');
6153990;'le97@uniandes.edu.co';61037;12207;5;TO_DATE('2013-05-25','YYYY-MM-DD');2513935;TO_DATE('2013-06-05','YYYY-MM-DD');
6153990;'paki19@yahoo.com';209347;29906;7;TO_DATE('2013-05-26','YYYY-MM-DD');3260792;TO_DATE('2013-06-04','YYYY-MM-DD');
6153990;'rola90@uniandes.edu.co';82622;13770;6;TO_DATE('2013-05-29','YYYY-MM-DD');3283872;TO_DATE('2013-06-11','YYYY-MM-DD');
6153990;'soxo3@gmail.com';204735;29247;7;TO_DATE('2013-05-29','YYYY-MM-DD');2777746;TO_DATE('2013-06-11','YYYY-MM-DD');
6153990;'tayu63@gmail.com';25856;5171;5;TO_DATE('2013-05-28','YYYY-MM-DD');3430283;TO_DATE('2013-06-05','YYYY-MM-DD');
6153990;'yi85@uniandes.edu.co';275478;27547;10;TO_DATE('2013-05-24','YYYY-MM-DD');9144941;TO_DATE('2013-06-01','YYYY-MM-DD');
6692366;'ke46@gmail.com';13601;4533;3;TO_DATE('2013-05-23','YYYY-MM-DD');9876967;TO_DATE('2013-05-31','YYYY-MM-DD');
6692366;'le97@uniandes.edu.co';41741;10435;4;TO_DATE('2013-05-21','YYYY-MM-DD');8270282;TO_DATE('2013-06-02','YYYY-MM-DD');
6692366;'lu70@gmail.com';85778;42889;2;TO_DATE('2013-05-24','YYYY-MM-DD');235752;TO_DATE('2013-06-07','YYYY-MM-DD');
6692366;'xa62@uniandes.edu.co';93139;46569;2;TO_DATE('2013-05-28','YYYY-MM-DD');4907257;TO_DATE('2013-06-10','YYYY-MM-DD');
6692366;'xiju86@hotmail.com';21982;10991;2;TO_DATE('2013-05-26','YYYY-MM-DD');4558168;TO_DATE('2013-06-06','YYYY-MM-DD');
9267466;'ce47@uniandes.edu.co';65486;2728;24;TO_DATE('2013-05-27','YYYY-MM-DD');5813440;TO_DATE('2013-06-03','YYYY-MM-DD');
9267466;'du32@hotmail.com';213886;8555;25;TO_DATE('2013-05-29','YYYY-MM-DD');5665434;TO_DATE('2013-06-06','YYYY-MM-DD');
9267466;'joca23@hotmail.com';154163;5505;28;TO_DATE('2013-06-03','YYYY-MM-DD');4356317;TO_DATE('2013-06-17','YYYY-MM-DD');
9267466;'juzo69@yahoo.com';283696;10507;27;TO_DATE('2013-05-26','YYYY-MM-DD');4105231;TO_DATE('2013-06-06','YYYY-MM-DD');
9267466;'soxo3@gmail.com';293244;10111;29;TO_DATE('2013-06-02','YYYY-MM-DD');782372;TO_DATE('2013-06-09','YYYY-MM-DD');
9267466;'tayu63@gmail.com';132150;6955;19;TO_DATE('2013-06-03','YYYY-MM-DD');3966242;TO_DATE('2013-06-15','YYYY-MM-DD');
9267466;'vomu47@yahoo.com';84222;3368;25;TO_DATE('2013-06-01','YYYY-MM-DD');2065373;TO_DATE('2013-06-11','YYYY-MM-DD');
9267466;'yi85@uniandes.edu.co';235068;7835;30;TO_DATE('2013-05-27','YYYY-MM-DD');2291894;TO_DATE('2013-06-06','YYYY-MM-DD');
7407812;'fu41@hotmail.com';122834;61417;2;TO_DATE('2014-04-21','YYYY-MM-DD');8283289;TO_DATE('2014-12-19','YYYY-MM-DD');
7407812;'li12@yahoo.com';99870;99870;1;TO_DATE('2014-04-18','YYYY-MM-DD');3596852;TO_DATE('2014-12-18','YYYY-MM-DD');
7407812;'lodi27@hotmail.com';197358;197358;1;TO_DATE('2014-04-17','YYYY-MM-DD');8005736;TO_DATE('2015-01-08','YYYY-MM-DD');
7407812;'xe60@hotmail.com';17907;17907;1;TO_DATE('2014-04-21','YYYY-MM-DD');2748971;TO_DATE('2014-10-31','YYYY-MM-DD');
7407812;'ya84@uniandes.edu.co';214751;214751;1;TO_DATE('2014-04-16','YYYY-MM-DD');9130302;TO_DATE('2014-11-23','YYYY-MM-DD');
4726340;'ceti18@hotmail.com';73370;3668;20;TO_DATE('2014-04-13','YYYY-MM-DD');9195726;TO_DATE('2014-04-27','YYYY-MM-DD');
4726340;'lu70@gmail.com';177702;14808;12;TO_DATE('2014-04-17','YYYY-MM-DD');2603404;TO_DATE('2014-04-30','YYYY-MM-DD');
4726340;'yi85@uniandes.edu.co';83766;4408;19;TO_DATE('2014-04-15','YYYY-MM-DD');7068334;TO_DATE('2014-04-24','YYYY-MM-DD');
6690605;'du32@hotmail.com';16275;4068;4;TO_DATE('2014-04-18','YYYY-MM-DD');2686969;TO_DATE('2014-05-02','YYYY-MM-DD');
6690605;'na80@gmail.com';205198;51299;4;TO_DATE('2014-04-20','YYYY-MM-DD');855872;TO_DATE('2014-04-28','YYYY-MM-DD');
6690605;'rola90@uniandes.edu.co';132518;16564;8;TO_DATE('2014-04-20','YYYY-MM-DD');8064957;TO_DATE('2014-04-30','YYYY-MM-DD');
3611513;'du32@hotmail.com';69458;5342;13;TO_DATE('2013-10-09','YYYY-MM-DD');5491508;TO_DATE('2013-10-19','YYYY-MM-DD');
3611513;'le97@uniandes.edu.co';244458;15278;16;TO_DATE('2013-10-13','YYYY-MM-DD');4010065;TO_DATE('2013-10-23','YYYY-MM-DD');
3611513;'na80@gmail.com';98327;3781;26;TO_DATE('2013-10-08','YYYY-MM-DD');8000463;TO_DATE('2013-10-15','YYYY-MM-DD');
3611513;'pa82@uniandes.edu.co';257760;14320;18;TO_DATE('2013-10-09','YYYY-MM-DD');1057091;TO_DATE('2013-10-18','YYYY-MM-DD');
3611513;'rola90@uniandes.edu.co';94193;7245;13;TO_DATE('2013-10-12','YYYY-MM-DD');1577887;TO_DATE('2013-10-26','YYYY-MM-DD');
3611513;'xa62@uniandes.edu.co';111403;6189;18;TO_DATE('2013-10-10','YYYY-MM-DD');7705642;TO_DATE('2013-10-17','YYYY-MM-DD');
2492719;'li12@yahoo.com';28327;7081;4;TO_DATE('2014-01-10','YYYY-MM-DD');1397490;TO_DATE('2014-10-18','YYYY-MM-DD');
2492719;'mo36@gmail.com';145249;36312;4;TO_DATE('2014-01-07','YYYY-MM-DD');9638522;TO_DATE('2014-07-30','YYYY-MM-DD');
2492719;'nobe91@yahoo.com';265872;66468;4;TO_DATE('2014-01-12','YYYY-MM-DD');6738622;TO_DATE('2014-05-02','YYYY-MM-DD');
2492719;'vazi20@hotmail.com';211746;30249;7;TO_DATE('2014-01-14','YYYY-MM-DD');8892259;TO_DATE('2014-07-19','YYYY-MM-DD');
9814446;'fu41@hotmail.com';136027;10463;13;TO_DATE('2013-09-01','YYYY-MM-DD');6781572;TO_DATE('2014-03-30','YYYY-MM-DD');
9814446;'lodi27@hotmail.com';245282;22298;11;TO_DATE('2013-08-30','YYYY-MM-DD');7687355;TO_DATE('2014-01-30','YYYY-MM-DD');
9814446;'ne45@yahoo.com';125764;6288;20;TO_DATE('2013-09-05','YYYY-MM-DD');8049217;TO_DATE('2014-04-26','YYYY-MM-DD');
5150466;'lu59@uniandes.edu.co';30899;1404;22;TO_DATE('2013-09-15','YYYY-MM-DD');3431097;TO_DATE('2014-06-12','YYYY-MM-DD');
5150466;'nobe91@yahoo.com';251561;22869;11;TO_DATE('2013-09-19','YYYY-MM-DD');4291242;TO_DATE('2014-02-15','YYYY-MM-DD');
6445647;'ce47@uniandes.edu.co';249508;83169;3;TO_DATE('2013-12-31','YYYY-MM-DD');1348711;TO_DATE('2014-01-08','YYYY-MM-DD');
6445647;'guwa51@hotmail.com';153098;38274;4;TO_DATE('2013-12-30','YYYY-MM-DD');8465120;TO_DATE('2014-01-13','YYYY-MM-DD');
6445647;'rola90@uniandes.edu.co';69576;11596;6;TO_DATE('2014-01-07','YYYY-MM-DD');2499111;TO_DATE('2014-01-15','YYYY-MM-DD');
6445647;'ti55@uniandes.edu.co';117687;39229;3;TO_DATE('2014-01-03','YYYY-MM-DD');8787172;TO_DATE('2014-01-10','YYYY-MM-DD');
4139674;'lodi27@hotmail.com';244644;17474;14;TO_DATE('2014-05-03','YYYY-MM-DD');8149834;TO_DATE('2015-01-13','YYYY-MM-DD');
4139674;'lu59@uniandes.edu.co';241140;17224;14;TO_DATE('2014-05-01','YYYY-MM-DD');507446;TO_DATE('2014-10-25','YYYY-MM-DD');
4139674;'pavi78@uniandes.edu.co';156973;11212;14;TO_DATE('2014-05-03','YYYY-MM-DD');7036817;TO_DATE('2014-11-20','YYYY-MM-DD');
4139674;'qe95@uniandes.edu.co';268162;19154;14;TO_DATE('2014-04-29','YYYY-MM-DD');8217805;TO_DATE('2014-10-25','YYYY-MM-DD');
4139674;'rofi34@gmail.com';110749;6152;18;TO_DATE('2014-04-23','YYYY-MM-DD');2257529;TO_DATE('2014-12-29','YYYY-MM-DD');
4139674;'roha13@uniandes.edu.co';192889;13777;14;TO_DATE('2014-04-26','YYYY-MM-DD');8600266;TO_DATE('2015-01-07','YYYY-MM-DD');
4139674;'vazi20@hotmail.com';44951;3210;14;TO_DATE('2014-04-25','YYYY-MM-DD');6524671;TO_DATE('2014-11-03','YYYY-MM-DD');
1148455;'bu86@yahoo.com';193994;48498;4;TO_DATE('2013-06-20','YYYY-MM-DD');778002;TO_DATE('2014-12-12','YYYY-MM-DD');
1148455;'kido42@uniandes.edu.co';260473;86824;3;TO_DATE('2013-06-24','YYYY-MM-DD');7789177;TO_DATE('2014-07-14','YYYY-MM-DD');
1148455;'peqe75@gmail.com';105035;52517;2;TO_DATE('2013-06-17','YYYY-MM-DD');181900;TO_DATE('2014-09-06','YYYY-MM-DD');
1148455;'po62@yahoo.com';26109;13054;2;TO_DATE('2013-06-24','YYYY-MM-DD');1097614;TO_DATE('2015-03-07','YYYY-MM-DD');
1148455;'to91@gmail.com';199888;99944;2;TO_DATE('2013-06-22','YYYY-MM-DD');698683;TO_DATE('2015-04-19','YYYY-MM-DD');
1148455;'vi15@gmail.com';56496;28248;2;TO_DATE('2013-06-24','YYYY-MM-DD');2169016;TO_DATE('2015-04-28','YYYY-MM-DD');
1148455;'weqo42@gmail.com';266233;133116;2;TO_DATE('2013-06-25','YYYY-MM-DD');9160775;TO_DATE('2015-05-12','YYYY-MM-DD');
1148455;'xuze3@yahoo.com';148978;74489;2;TO_DATE('2013-06-16','YYYY-MM-DD');539329;TO_DATE('2014-11-26','YYYY-MM-DD');
2992174;'ke46@gmail.com';262058;16378;16;TO_DATE('2013-12-28','YYYY-MM-DD');1292160;TO_DATE('2014-01-07','YYYY-MM-DD');
2992174;'na80@gmail.com';190940;8679;22;TO_DATE('2013-12-26','YYYY-MM-DD');6216935;TO_DATE('2014-01-02','YYYY-MM-DD');
2992174;'pa82@uniandes.edu.co';91707;5731;16;TO_DATE('2013-12-27','YYYY-MM-DD');3479233;TO_DATE('2014-01-08','YYYY-MM-DD');
2992174;'rola90@uniandes.edu.co';144630;9039;16;TO_DATE('2013-12-25','YYYY-MM-DD');3348623;TO_DATE('2014-01-05','YYYY-MM-DD');
2992174;'tayu63@gmail.com';41889;2618;16;TO_DATE('2013-12-27','YYYY-MM-DD');3979683;TO_DATE('2014-01-03','YYYY-MM-DD');
2992174;'ti55@uniandes.edu.co';181488;11343;16;TO_DATE('2013-12-21','YYYY-MM-DD');8573101;TO_DATE('2014-01-04','YYYY-MM-DD');
4808088;'na80@gmail.com';132482;10190;13;TO_DATE('2013-12-22','YYYY-MM-DD');4146900;TO_DATE('2014-01-04','YYYY-MM-DD');
4808088;'soxo3@gmail.com';299006;24917;12;TO_DATE('2013-12-17','YYYY-MM-DD');9199927;TO_DATE('2013-12-27','YYYY-MM-DD');
4808088;'vomu47@yahoo.com';125975;6298;20;TO_DATE('2013-12-21','YYYY-MM-DD');3719048;TO_DATE('2013-12-28','YYYY-MM-DD');
4808088;'yi85@uniandes.edu.co';293089;13956;21;TO_DATE('2013-12-26','YYYY-MM-DD');3360166;TO_DATE('2014-01-09','YYYY-MM-DD');
7475946;'hexo12@yahoo.com';264391;44065;6;TO_DATE('2013-06-13','YYYY-MM-DD');4669981;TO_DATE('2014-07-08','YYYY-MM-DD');
7475946;'peqe75@gmail.com';97766;32588;3;TO_DATE('2013-06-16','YYYY-MM-DD');3915301;TO_DATE('2015-03-17','YYYY-MM-DD');
7475946;'po62@yahoo.com';54427;10885;5;TO_DATE('2013-06-14','YYYY-MM-DD');8285696;TO_DATE('2015-02-10','YYYY-MM-DD');
7475946;'to91@gmail.com';237482;79160;3;TO_DATE('2013-06-17','YYYY-MM-DD');1926166;TO_DATE('2014-07-09','YYYY-MM-DD');
7475946;'vi15@gmail.com';71149;23716;3;TO_DATE('2013-06-15','YYYY-MM-DD');801341;TO_DATE('2014-06-17','YYYY-MM-DD');
7475946;'zufo3@hotmail.com';39456;13152;3;TO_DATE('2013-06-10','YYYY-MM-DD');5293373;TO_DATE('2015-02-15','YYYY-MM-DD');
1085665;'li12@yahoo.com';154998;9687;16;TO_DATE('2014-04-10','YYYY-MM-DD');1484522;TO_DATE('2014-08-01','YYYY-MM-DD');
1085665;'nese28@uniandes.edu.co';284637;35579;8;TO_DATE('2014-04-16','YYYY-MM-DD');1258974;TO_DATE('2014-10-08','YYYY-MM-DD');
1085665;'rofi34@gmail.com';40709;5088;8;TO_DATE('2014-04-19','YYYY-MM-DD');4224049;TO_DATE('2014-08-10','YYYY-MM-DD');
1085665;'to8@yahoo.com';274395;21107;13;TO_DATE('2014-04-13','YYYY-MM-DD');3842358;TO_DATE('2014-11-05','YYYY-MM-DD');
1085665;'vazi20@hotmail.com';253069;23006;11;TO_DATE('2014-04-15','YYYY-MM-DD');9440711;TO_DATE('2015-01-09','YYYY-MM-DD');
1085665;'xe60@hotmail.com';68971;7663;9;TO_DATE('2014-04-14','YYYY-MM-DD');7457214;TO_DATE('2014-11-25','YYYY-MM-DD');
2525810;'ceti18@hotmail.com';258349;8908;29;TO_DATE('2013-06-07','YYYY-MM-DD');787403;TO_DATE('2013-06-15','YYYY-MM-DD');
2525810;'fo67@yahoo.com';37675;1108;34;TO_DATE('2013-06-04','YYYY-MM-DD');5930594;TO_DATE('2013-06-11','YYYY-MM-DD');
2525810;'jaqe80@uniandes.edu.co';221884;12326;18;TO_DATE('2013-06-06','YYYY-MM-DD');6779391;TO_DATE('2013-06-13','YYYY-MM-DD');
2525810;'ke46@gmail.com';230331;6774;34;TO_DATE('2013-06-08','YYYY-MM-DD');1660473;TO_DATE('2013-06-19','YYYY-MM-DD');
2525810;'na80@gmail.com';297014;9000;33;TO_DATE('2013-06-11','YYYY-MM-DD');9238759;TO_DATE('2013-06-20','YYYY-MM-DD');
2525810;'rola90@uniandes.edu.co';131563;7309;18;TO_DATE('2013-06-03','YYYY-MM-DD');1181084;TO_DATE('2013-06-14','YYYY-MM-DD');
2525810;'tayu63@gmail.com';254621;7956;32;TO_DATE('2013-06-11','YYYY-MM-DD');1522949;TO_DATE('2013-06-18','YYYY-MM-DD');
2525810;'ti55@uniandes.edu.co';148761;6198;24;TO_DATE('2013-06-08','YYYY-MM-DD');330706;TO_DATE('2013-06-17','YYYY-MM-DD');
2525810;'xa62@uniandes.edu.co';171014;9500;18;TO_DATE('2013-06-10','YYYY-MM-DD');8158221;TO_DATE('2013-06-19','YYYY-MM-DD');
5687894;'dixu22@yahoo.com';208758;17396;12;TO_DATE('2013-12-23','YYYY-MM-DD');4571619;TO_DATE('2015-08-18','YYYY-MM-DD');
5687894;'qaco88@gmail.com';180301;15025;12;TO_DATE('2013-12-22','YYYY-MM-DD');8274765;TO_DATE('2015-10-07','YYYY-MM-DD');
5687894;'to91@gmail.com';181505;12100;15;TO_DATE('2013-12-30','YYYY-MM-DD');3463276;TO_DATE('2015-09-17','YYYY-MM-DD');
5687894;'vi15@gmail.com';114352;4971;23;TO_DATE('2013-12-28','YYYY-MM-DD');5175921;TO_DATE('2015-06-02','YYYY-MM-DD');
2508383;'fo67@yahoo.com';147495;147495;1;TO_DATE('2014-04-29','YYYY-MM-DD');1237154;TO_DATE('2014-05-06','YYYY-MM-DD');
2508383;'jaqe80@uniandes.edu.co';108198;108198;1;TO_DATE('2014-05-02','YYYY-MM-DD');9734262;TO_DATE('2014-05-12','YYYY-MM-DD');
2508383;'juzo69@yahoo.com';211135;211135;1;TO_DATE('2014-05-01','YYYY-MM-DD');3507800;TO_DATE('2014-05-08','YYYY-MM-DD');
2508383;'na80@gmail.com';14375;14375;1;TO_DATE('2014-04-29','YYYY-MM-DD');216865;TO_DATE('2014-05-10','YYYY-MM-DD');
2508383;'pa82@uniandes.edu.co';277784;277784;1;TO_DATE('2014-04-29','YYYY-MM-DD');8433434;TO_DATE('2014-05-08','YYYY-MM-DD');
2508383;'soxo3@gmail.com';118187;118187;1;TO_DATE('2014-05-03','YYYY-MM-DD');3201974;TO_DATE('2014-05-17','YYYY-MM-DD');
2508383;'ti55@uniandes.edu.co';44075;44075;1;TO_DATE('2014-04-26','YYYY-MM-DD');8458873;TO_DATE('2014-05-09','YYYY-MM-DD');
2508383;'vima99@yahoo.com';64081;64081;1;TO_DATE('2014-04-24','YYYY-MM-DD');3296207;TO_DATE('2014-05-02','YYYY-MM-DD');
9517264;'le97@uniandes.edu.co';184620;8791;21;TO_DATE('2014-04-11','YYYY-MM-DD');1251018;TO_DATE('2014-04-20','YYYY-MM-DD');
3896347;'li12@yahoo.com';89532;4974;18;TO_DATE('2014-02-13','YYYY-MM-DD');3798093;TO_DATE('2014-08-13','YYYY-MM-DD');
3896347;'lodi27@hotmail.com';210669;11703;18;TO_DATE('2014-02-08','YYYY-MM-DD');4596036;TO_DATE('2014-08-10','YYYY-MM-DD');
3896347;'ne45@yahoo.com';289964;16109;18;TO_DATE('2014-02-09','YYYY-MM-DD');1609326;TO_DATE('2014-05-27','YYYY-MM-DD');
3896347;'nobe91@yahoo.com';23911;1328;18;TO_DATE('2014-02-04','YYYY-MM-DD');2546796;TO_DATE('2014-11-06','YYYY-MM-DD');
3896347;'re16@uniandes.edu.co';24832;1379;18;TO_DATE('2014-02-10','YYYY-MM-DD');1563298;TO_DATE('2014-07-28','YYYY-MM-DD');
3896347;'rofi34@gmail.com';291778;16209;18;TO_DATE('2014-02-12','YYYY-MM-DD');2788004;TO_DATE('2014-06-16','YYYY-MM-DD');
3896347;'vazi20@hotmail.com';232990;9319;25;TO_DATE('2014-02-07','YYYY-MM-DD');2685975;TO_DATE('2014-06-10','YYYY-MM-DD');
9963370;'ceti18@hotmail.com';56564;18854;3;TO_DATE('2013-10-23','YYYY-MM-DD');1991794;TO_DATE('2013-11-05','YYYY-MM-DD');
9963370;'fo67@yahoo.com';114587;28646;4;TO_DATE('2013-10-14','YYYY-MM-DD');7681547;TO_DATE('2013-10-28','YYYY-MM-DD');
9963370;'guwa51@hotmail.com';126629;42209;3;TO_DATE('2013-10-21','YYYY-MM-DD');5311592;TO_DATE('2013-10-29','YYYY-MM-DD');
9963370;'juzo69@yahoo.com';96977;16162;6;TO_DATE('2013-10-16','YYYY-MM-DD');4368950;TO_DATE('2013-10-29','YYYY-MM-DD');
9963370;'pa82@uniandes.edu.co';150316;50105;3;TO_DATE('2013-10-15','YYYY-MM-DD');275448;TO_DATE('2013-10-25','YYYY-MM-DD');
9963370;'paki19@yahoo.com';24469;6117;4;TO_DATE('2013-10-19','YYYY-MM-DD');3591729;TO_DATE('2013-10-26','YYYY-MM-DD');
9963370;'ru61@uniandes.edu.co';250014;83338;3;TO_DATE('2013-10-17','YYYY-MM-DD');8771662;TO_DATE('2013-10-28','YYYY-MM-DD');
9963370;'tayu63@gmail.com';147594;49198;3;TO_DATE('2013-10-15','YYYY-MM-DD');9010184;TO_DATE('2013-10-24','YYYY-MM-DD');
9963370;'xiju86@hotmail.com';40022;8004;5;TO_DATE('2013-10-23','YYYY-MM-DD');2678071;TO_DATE('2013-11-04','YYYY-MM-DD');
9963370;'yi85@uniandes.edu.co';276420;92140;3;TO_DATE('2013-10-14','YYYY-MM-DD');3359394;TO_DATE('2013-10-24','YYYY-MM-DD');
5620227;'lodi27@hotmail.com';106458;9678;11;TO_DATE('2013-10-31','YYYY-MM-DD');3560351;TO_DATE('2014-02-23','YYYY-MM-DD');
5620227;'roha13@uniandes.edu.co';194269;17660;11;TO_DATE('2013-11-01','YYYY-MM-DD');1213754;TO_DATE('2014-05-28','YYYY-MM-DD');
5620227;'seqo49@uniandes.edu.co';217004;19727;11;TO_DATE('2013-10-31','YYYY-MM-DD');9614357;TO_DATE('2014-07-11','YYYY-MM-DD');
5996082;'kido42@uniandes.edu.co';168851;7341;23;TO_DATE('2014-03-11','YYYY-MM-DD');7602536;TO_DATE('2015-12-11','YYYY-MM-DD');
5996082;'lo35@uniandes.edu.co';288725;16983;17;TO_DATE('2014-03-09','YYYY-MM-DD');3514685;TO_DATE('2015-07-14','YYYY-MM-DD');
