DIRECCION_ELECTRONICA;NOMBRE;DOC_IDENTIFICACION;PALABRA_CLAVE;CIUDAD;DEPARTAMENTO;NACIONALIDAD;DIRECCION_FISICA;CODIGO_POSTAL;TELEFONO;ROL;TIPO;
'de37@uniandes.edu.co';'Supermercado 235';'NIT 543085144';'ExEZiLSN';NULL;NULL;NULL;'Carrera 70 #20-63';NULL;NULL;'Comprador mayorista';'Empresa';
'va26@gmail.com';'Cristina Vásquez Flórez';'C.C. 665996003';'ZkDsGDCtkDZ';'Bogotá';'Cundinamarca';'Colombiano';'Carrera 36 #54-33';NULL;NULL;'Administrador de local';'Persona natural';
'nuku12@yahoo.com';'Angélica Bravo Torres';'C.C. 328998075';'6K4glTrJVUR';'Bucaramanga';'Santander';'Colombiano';NULL;164;'4708224';'Administrador de local';'Persona natural';
'nu43@uniandes.edu.co';'Hotel 841';'NIT 15545805';'JSr0le4q0Ih';'Barranquilla';'Atlántico';'Colombiano';'Carrera 23 #4-14';378;'5093123';'Comprador mayorista';'Empresa';
'kevu17@gmail.com';'Hotel 243';'NIT 849391845';'1rP8wh1WIq';'Bogotá';'Cundinamarca';'Colombiano';'Calle 44 #42-46';943;NULL;'Comprador mayorista';'Empresa';
'hexo12@yahoo.com';'Fabio Javier Salamanca Jiménez';'C.C. 994235252';'nnhEOq3EA6Fu';'Bucaramanga';'Santander';'Colombiano';NULL;NULL;NULL;'Proveedor';'Persona natural';
'lu59@uniandes.edu.co';'Matilde Cármen Villalba Rivero';'C.C. 957713203';'YS0lReEybUpd';'Bogotá';'Cundinamarca';'Colombiano';'Carrera 96 #33-04';NULL;'7946189';'Proveedor';'Persona natural';
'peme19@hotmail.com';'Restaurante 995';'NIT 349634212';'mJa2vUOp';'Bucaramanga';'Santander';'Colombiano';'Carrera 80 #58-80';852;'3435293';'Comprador mayorista';'Empresa';
'lodi27@hotmail.com';'Leonardo Camilo Rojas Ramírez';'C.C. 667923381';'1H63SjTS';'Barranquilla';'Atlántico';'Colombiano';'Carrera 59 #64-24';407;'7742822';'Proveedor';'Persona natural';
'pini67@hotmail.com';'Hotel 527';'NIT 814399592';'tTsEUkjT';'Cali';'Valle del Cauca';'Colombiano';NULL;935;NULL;'Comprador mayorista';'Empresa';
'soxo3@gmail.com';'Gabriel Jimmy Bravo Martínez';'C.C. 601310593';'jUHqPxnfdOa';'Medellín';'Antioquia';'Colombiano';'Carrera 94 #4-44';73;NULL;'Proveedor';'Persona natural';
'huqi23@gmail.com';'Enrique Ponce Medina';'C.C. 339243307';'kSpmaGTLz';NULL;NULL;NULL;'Carrera 79 #35-28';910;NULL;'Administrador de local';'Persona natural';
'ku31@uniandes.edu.co';'Restaurante 961';'NIT 749117716';'GuAUIOS0';'Bogotá';'Cundinamarca';'Colombiano';'Carrera 72 #72-18';NULL;'6884027';'Comprador mayorista';'Empresa';
'fapa49@uniandes.edu.co';'Hotel 341';'NIT 987345852';'vLDXFqfHvCTb';NULL;NULL;NULL;'Calle 13 #80-65';989;'3576921';'Comprador mayorista';'Empresa';
'ke46@gmail.com';'Victoria Luisa Navarro Hernández';'C.C. 176843910';'Rscgufes';'Barranquilla';'Atlántico';'Colombiano';NULL;NULL;'3077794';'Proveedor';'Persona natural';
'qe47@hotmail.com';'Isabel Esperanza Ríos Rojas';'C.C. 529802287';'X1BnfdAo';'Bucaramanga';'Santander';'Colombiano';'Carrera 70 #56-61';NULL;NULL;'Administrador de local';'Persona natural';
'sopu71@gmail.com';'Gerardo Rodríguez Gutiérrez';'C.C. 246432032';'0Apds91LoAl';'Barranquilla';'Atlántico';'Colombiano';'Calle 85 #77-45';107;'5876926';'Proveedor';'Persona natural';
'buza67@gmail.com';'Hotel 536';'NIT 670331588';'BA2C8YKxYkh9';'Medellín';'Antioquia';'Colombiano';'Calle 76 #42-94';747;'7562521';'Comprador mayorista';'Empresa';
'la91@yahoo.com';'Restaurante 459';'NIT 849119651';'jzvIpxhqhs7';'Bucaramanga';'Santander';'Colombiano';'Calle 77 #50-71';274;'4320714';'Comprador mayorista';'Empresa';
'se30@hotmail.com';'Alonso Pedro Romero Méndez';'C.C. 207783849';'Nre2CANcu';'Barranquilla';'Atlántico';'Colombiano';'Calle 14 #24-27';NULL;'2992740';'Administrador de local';'Persona natural';
'do2@gmail.com';'Lilia Graciela Escobar Cáceres';'C.C. 620792923';'YJSjnYp6AZ6';'Bucaramanga';'Santander';'Colombiano';NULL;862;NULL;'Administrador de local';'Persona natural';
'ga61@hotmail.com';'Víctor Hugo Chávez Romero';'C.C. 737472244';'Vd5Wgc18Ls';'Medellín';'Antioquia';'Colombiano';NULL;NULL;'6260502';'Administrador de local';'Persona natural';
'tuno67@gmail.com';'Restaurante 817';'NIT 245961355';'9JHxw1qDw';NULL;NULL;NULL;'Calle 5 #31-58';391;'3074039';'Comprador mayorista';'Empresa';
'ku51@uniandes.edu.co';'Mario Camilo Leiva Rojas';'C.C. 221137637';'oXztHzzRD';'Cali';'Valle del Cauca';'Colombiano';NULL;282;'2720359';'Administrador de local';'Persona natural';
'nobe91@yahoo.com';'Francisco Cáceres Arce';'C.C. 268097400';'TjXHaieleNb';'Bucaramanga';'Santander';'Colombiano';'Calle 20 #67-57';NULL;'6095500';'Proveedor';'Persona natural';
'vazo63@uniandes.edu.co';'Roberto Joaquín García Moreno';'C.C. 283098256';'S12IbrH1e6';'Cali';'Valle del Cauca';'Colombiano';NULL;723;'7304573';'Administrador de local';'Persona natural';
'le82@hotmail.com';'Mario Walter Muñoz García';'C.C. 188348535';'Bpb44O8L10';'Bucaramanga';'Santander';'Colombiano';'Calle 4 #3-63';794;'6905626';'Administrador de local';'Persona natural';
'za91@hotmail.com';'Supermercado 495';'NIT 395574714';'HtgXZ9BFCn';'Barranquilla';'Atlántico';'Colombiano';NULL;NULL;NULL;'Comprador mayorista';'Empresa';
'ne45@yahoo.com';'Pilar Tatiana Maldonado Acosta';'C.C. 73499746';'z9RM1raC';'Cali';'Valle del Cauca';'Colombiano';NULL;198;NULL;'Proveedor';'Persona natural';
'mo65@hotmail.com';'Restaurante 849';'NIT 187062818';'hlaWLUUxl';'Cali';'Valle del Cauca';'Colombiano';'Carrera 54 #62-89';NULL;'3863511';'Comprador mayorista';'Empresa';
'juqi93@yahoo.com';'Restaurante 718';'NIT 695709802';'U4yE9kyeJ3Tq';'Barranquilla';'Atlántico';'Colombiano';NULL;NULL;'7762555';'Comprador mayorista';'Empresa';
'ridu12@gmail.com';'Supermercado 816';'NIT 734672173';'UXNeWK8IEdd';NULL;NULL;NULL;NULL;215;'7125606';'Comprador mayorista';'Empresa';
'yixe21@yahoo.com';'Eliana Tatiana López Castillo';'C.C. 797663865';'kfwekkM2Rq2W';'Bogotá';'Cundinamarca';'Colombiano';'Carrera 65 #75-82';NULL;'7004335';'Administrador de local';'Persona natural';
'qaco88@gmail.com';'Raquel Vanesa Navarro García';'C.C. 456655618';'5u1lJD3y';NULL;NULL;NULL;NULL;319;NULL;'Proveedor';'Persona natural';
'cugu88@gmail.com';'Hotel 755';'NIT 843515020';'S9LmQAVJZ8Rx';'Bogotá';'Cundinamarca';'Colombiano';NULL;NULL;'5248220';'Comprador mayorista';'Empresa';
'ceti18@hotmail.com';'Miguel Vega Torres';'C.C. 841375211';'qM30WPoIV0n';'Medellín';'Antioquia';'Colombiano';'Carrera 66 #75-66';343;NULL;'Proveedor';'Persona natural';
'fazo8@yahoo.com';'Helena Ángela Martínez Navarro';'C.C. 370731124';'Ull1qhUlhn8';NULL;NULL;NULL;'Carrera 5 #97-57';3;'4210759';'Administrador de local';'Persona natural';
'tayu63@gmail.com';'Mauricio Víctor Cáceres Méndez';'C.C. 764844002';'28sGU9FwQCu';'Barranquilla';'Atlántico';'Colombiano';NULL;885;NULL;'Proveedor';'Persona natural';
'guwa51@hotmail.com';'Sara Gabriela Vera Benítez';'C.C. 37398932';'9iNdpLmmMku';'Bogotá';'Cundinamarca';'Colombiano';'Calle 10 #54-81';994;'4985024';'Proveedor';'Persona natural';
'weqo42@gmail.com';'Elvira Blanca Domínguez Herrera';'C.C. 801839857';'7Pc4Ob7XfOvx';'Barranquilla';'Atlántico';'Colombiano';'Calle 11 #66-59';796;'7343922';'Proveedor';'Persona natural';
'daco57@hotmail.com';'Restaurante 906';'NIT 895398405';'YDFibGXKA4Ja';'Bogotá';'Cundinamarca';'Colombiano';NULL;163;'6039386';'Comprador mayorista';'Empresa';
'sefi96@uniandes.edu.co';'Lina López Suárez';'C.C. 247570665';'pnKCXb9c';'Barranquilla';'Atlántico';'Colombiano';'Calle 3 #62-75';335;'4861888';'Administrador de local';'Persona natural';
