COD_USUARIO;COD_TIPO_PRODUCTO;CALIFICACION;
'wuxa42@gmail.com';3;3.5;
'lele65@yahoo.com';2;0.1;
'fe80@uniandes.edu.co';1;2.6;
'wo72@gmail.com';3;NULL;
'nuxa70@hotmail.com';3;NULL;
'qomu48@uniandes.edu.co';1;NULL;
'he5@gmail.com';2;0.8;
'zece30@gmail.com';2;3.5;
'muqa81@uniandes.edu.co';1;4.5;
'di39@uniandes.edu.co';2;0.2;
'ye8@uniandes.edu.co';3;1.0;
'vipe98@gmail.com';3;NULL;
'fori91@hotmail.com';1;2.6;
'jega47@uniandes.edu.co';3;1.0;
'jo40@gmail.com';3;NULL;
'hale83@gmail.com';1;NULL;
'zoha44@uniandes.edu.co';1;3.7;
're47@hotmail.com';1;NULL;
'veqe4@hotmail.com';2;1.3;
'yu10@yahoo.com';1;0.9;
'zi81@yahoo.com';1;NULL;
'da90@hotmail.com';3;4.0;
'yi55@yahoo.com';1;2.4;
'xo55@yahoo.com';1;2.1;
'te42@uniandes.edu.co';3;4.9;
'se99@hotmail.com';1;4.5;
'ya83@uniandes.edu.co';1;3.4;
'qe44@gmail.com';1;0.9;
're2@gmail.com';1;4.2;
'mu26@yahoo.com';3;NULL;
'ji71@hotmail.com';2;NULL;
'quci10@hotmail.com';3;NULL;
'wuya9@gmail.com';1;3.5;
'mege80@gmail.com';1;2.8;
'damo96@hotmail.com';1;4.3;
'bizu72@hotmail.com';1;NULL;
'le60@uniandes.edu.co';3;NULL;
'mo25@uniandes.edu.co';2;0.8;
'jo34@gmail.com';2;NULL;
'ju5@uniandes.edu.co';2;NULL;
'sa57@uniandes.edu.co';2;2.1;
'welo67@yahoo.com';1;NULL;
'be45@hotmail.com';2;NULL;
'bo13@uniandes.edu.co';1;1.2;
'kere85@gmail.com';2;2.3;
'bono67@uniandes.edu.co';2;4.7;
'yape22@uniandes.edu.co';2;4.1;
'ra10@yahoo.com';1;NULL;
'qemu29@yahoo.com';3;0.5;
'wo96@gmail.com';2;4.8;
'kiqo55@uniandes.edu.co';2;3.7;
'fu99@hotmail.com';1;1.9;
'pa40@yahoo.com';1;1.2;
'lacu88@yahoo.com';2;1.6;
'to75@gmail.com';2;4.3;
'lahu38@uniandes.edu.co';2;NULL;
'midu16@yahoo.com';2;2.3;
'me98@gmail.com';3;4.2;
'pe46@uniandes.edu.co';3;0.4;
'xi11@gmail.com';1;2.2;
'ce84@yahoo.com';1;NULL;
'fogo10@uniandes.edu.co';1;3.6;
'gi25@hotmail.com';3;NULL;
'yose32@yahoo.com';2;1.1;
'dupa89@gmail.com';1;NULL;
'cuqo71@hotmail.com';3;4.1;
'mi19@gmail.com';1;0.2;
'wive74@gmail.com';2;NULL;
'pu5@uniandes.edu.co';3;NULL;
'jeri3@gmail.com';1;NULL;
'ru48@yahoo.com';3;NULL;
'cu51@hotmail.com';3;NULL;
'ho46@yahoo.com';3;NULL;
'ke56@gmail.com';1;NULL;
'so12@yahoo.com';1;NULL;
'be7@yahoo.com';1;4.3;
'mika52@hotmail.com';3;NULL;
'po62@uniandes.edu.co';3;NULL;
'zime19@uniandes.edu.co';2;NULL;
'so95@uniandes.edu.co';1;3.2;
'loya14@uniandes.edu.co';2;NULL;
'ci34@gmail.com';1;4.7;
'ni79@gmail.com';3;4.0;
'xa57@yahoo.com';1;NULL;
'ki11@uniandes.edu.co';2;4.3;
'ji12@yahoo.com';1;NULL;
'mipu69@uniandes.edu.co';3;3.2;
'je65@uniandes.edu.co';2;2.6;
'du30@yahoo.com';2;3.1;
'hewa33@uniandes.edu.co';1;NULL;
'se6@yahoo.com';2;NULL;
'bi15@uniandes.edu.co';1;1.7;
'ro53@gmail.com';2;4.2;
'nubi33@uniandes.edu.co';3;2.0;
'xeca88@hotmail.com';1;0.1;
'la88@hotmail.com';1;1.6;
'cuke28@hotmail.com';2;4.1;
'desa2@uniandes.edu.co';2;NULL;
'qe46@gmail.com';1;NULL;
'ki67@gmail.com';1;NULL;
'geto19@yahoo.com';2;NULL;
'runa84@yahoo.com';3;4.8;
'we9@yahoo.com';1;NULL;
'guna61@gmail.com';3;4.5;
'za22@gmail.com';2;NULL;
'je37@gmail.com';3;4.8;
'fa94@yahoo.com';3;4.6;
'ye88@yahoo.com';2;3.8;
'qo20@gmail.com';3;3.0;
'pepi74@gmail.com';2;NULL;
'julu57@yahoo.com';1;3.3;
'sesi79@yahoo.com';2;NULL;
'do60@yahoo.com';2;NULL;
'beha91@uniandes.edu.co';3;NULL;
'ru63@gmail.com';1;NULL;
'yali72@yahoo.com';3;4.8;
'ba90@uniandes.edu.co';2;NULL;
'wecu1@gmail.com';3;4.7;
'ya88@gmail.com';2;3.3;
'yuso57@yahoo.com';3;NULL;
'ca40@uniandes.edu.co';1;NULL;
'yiru35@uniandes.edu.co';1;1.0;
'hoja83@yahoo.com';2;4.1;
'dehi88@hotmail.com';3;NULL;
'gu8@yahoo.com';3;NULL;
'pa63@yahoo.com';2;3.6;
'nila45@gmail.com';1;NULL;
'pu43@gmail.com';2;NULL;
'yuja34@yahoo.com';2;1.5;
'tu69@hotmail.com';1;3.6;
'togu94@uniandes.edu.co';3;NULL;
'da64@uniandes.edu.co';1;NULL;
'rani96@gmail.com';3;4.9;
'gi68@yahoo.com';3;0.7;
'yi28@gmail.com';2;0.9;
'fece46@hotmail.com';2;0.0;
'qara3@gmail.com';3;2.8;
'xo75@gmail.com';2;NULL;
'guxa82@uniandes.edu.co';3;4.4;
'fo64@hotmail.com';1;2.0;
'yezi15@gmail.com';1;4.6;
'qige4@uniandes.edu.co';3;NULL;
'ko52@uniandes.edu.co';1;NULL;
'wa22@hotmail.com';2;3.2;
'zaha49@uniandes.edu.co';1;NULL;
'ma37@hotmail.com';1;4.9;
'zece12@yahoo.com';2;NULL;
'xazu89@uniandes.edu.co';1;1.8;
'wa73@hotmail.com';2;0.2;
'wiqi59@hotmail.com';1;NULL;
'side93@uniandes.edu.co';3;0.6;
'yago98@hotmail.com';1;NULL;
'za70@yahoo.com';3;2.5;
'misi25@hotmail.com';3;3.4;
'ho52@yahoo.com';3;NULL;
'nadu10@yahoo.com';3;1.6;
'deqe23@gmail.com';2;4.7;
'qi79@hotmail.com';3;0.8;
'bu2@yahoo.com';3;NULL;
'bi64@uniandes.edu.co';3;4.4;
'tuge28@gmail.com';3;0.9;
'va21@hotmail.com';2;NULL;
'ce64@yahoo.com';3;4.7;
'foze18@uniandes.edu.co';2;3.3;
'ju12@yahoo.com';1;NULL;
'ma65@hotmail.com';3;NULL;
'sefe71@gmail.com';2;NULL;
'pi41@gmail.com';1;2.2;
'kegu5@gmail.com';2;0.8;
'mu31@gmail.com';3;3.0;
'tizo77@hotmail.com';2;2.8;
'de58@yahoo.com';3;0.1;
'huhe22@hotmail.com';2;NULL;
'xabi24@hotmail.com';1;0.4;
'kopo64@uniandes.edu.co';2;NULL;
'pu63@gmail.com';1;NULL;
'mi11@gmail.com';3;NULL;
'rewo43@uniandes.edu.co';2;0.8;
'ze72@yahoo.com';2;4.0;
'taya99@yahoo.com';2;NULL;
'qubi49@hotmail.com';3;NULL;
'bo18@hotmail.com';1;3.5;
'po37@gmail.com';3;NULL;
'buho58@yahoo.com';3;4.5;
'pifu97@yahoo.com';3;2.6;
'be46@hotmail.com';3;2.8;
'huwe24@hotmail.com';2;0.0;
'fexa27@gmail.com';1;NULL;
'cu63@uniandes.edu.co';1;NULL;
'sode96@yahoo.com';3;NULL;
'biya13@yahoo.com';3;2.6;
'va14@uniandes.edu.co';1;4.8;
'bu20@gmail.com';1;3.4;
'mako75@yahoo.com';1;NULL;
'guca6@uniandes.edu.co';1;NULL;
'ju48@yahoo.com';3;4.3;
'ze51@yahoo.com';1;4.8;
'mu82@hotmail.com';1;1.5;
'pima60@uniandes.edu.co';2;NULL;
'cu97@hotmail.com';1;3.2;
'xuve71@uniandes.edu.co';2;3.4;
'za81@gmail.com';3;NULL;
'ji23@uniandes.edu.co';2;4.1;
'guhu54@hotmail.com';2;NULL;
'le44@uniandes.edu.co';2;0.0;
'cibe68@uniandes.edu.co';3;0.0;
'suco37@gmail.com';3;1.0;
'nija12@gmail.com';2;0.2;
'ja17@gmail.com';1;2.8;
'povo44@hotmail.com';3;2.6;
'ju21@gmail.com';1;NULL;
'xo1@hotmail.com';3;NULL;
'di20@gmail.com';2;NULL;
'da18@yahoo.com';2;1.1;
'ru82@hotmail.com';3;1.9;
'xuma84@gmail.com';1;2.3;
'wa34@yahoo.com';3;4.1;
'cu3@gmail.com';3;0.4;
'go11@uniandes.edu.co';1;NULL;
'fo97@uniandes.edu.co';2;4.1;
'qipu12@gmail.com';1;4.9;
'huba36@hotmail.com';3;NULL;
'dexi88@hotmail.com';3;3.6;
'vixo94@gmail.com';3;0.8;
'de91@gmail.com';3;NULL;
'volo22@hotmail.com';3;5.0;
'la42@gmail.com';2;1.5;
're45@yahoo.com';1;1.4;
'cu79@hotmail.com';2;NULL;
'dagu11@uniandes.edu.co';3;NULL;
'fo19@yahoo.com';3;2.3;
'lowa30@gmail.com';2;3.5;
'za8@uniandes.edu.co';3;2.1;
'bije52@yahoo.com';3;0.8;
'nemi71@uniandes.edu.co';3;2.6;
'dili39@yahoo.com';2;3.4;
'gu10@hotmail.com';1;NULL;
'fijo61@gmail.com';2;5.0;
'zizi77@uniandes.edu.co';1;3.1;
'mojo76@uniandes.edu.co';2;3.5;
'hife20@hotmail.com';2;2.8;
'pa52@hotmail.com';2;NULL;
'wo27@uniandes.edu.co';2;3.7;
'ka21@gmail.com';1;1.9;
'widi98@yahoo.com';2;1.3;
'pu39@gmail.com';1;3.0;
'roti6@hotmail.com';2;4.8;
'ja75@gmail.com';1;0.2;
'luhe67@yahoo.com';3;NULL;
'da44@yahoo.com';1;4.7;
'qa97@yahoo.com';1;1.9;
'lofo84@uniandes.edu.co';1;3.9;
'nu15@uniandes.edu.co';2;NULL;
'quwu10@uniandes.edu.co';2;NULL;
'xo9@yahoo.com';1;NULL;
'ji90@uniandes.edu.co';1;4.4;
'lavu87@uniandes.edu.co';2;2.8;
'ro79@yahoo.com';1;3.5;
'kice50@hotmail.com';2;4.4;
'jobi20@gmail.com';3;0.2;
'weki15@hotmail.com';2;3.2;
'nefi42@uniandes.edu.co';3;0.7;
'coho24@yahoo.com';2;3.9;
'fehe47@uniandes.edu.co';3;NULL;
'ma95@gmail.com';1;5.0;
'zozo18@hotmail.com';2;3.4;
'po64@yahoo.com';2;1.5;
'zoto3@yahoo.com';1;4.3;
'dutu4@gmail.com';1;0.7;
'xa79@gmail.com';2;NULL;
'jo88@yahoo.com';2;1.7;
'duse43@hotmail.com';3;NULL;
'wi35@uniandes.edu.co';1;NULL;
'beqa11@hotmail.com';1;0.7;
'ki36@hotmail.com';2;NULL;
'naso19@yahoo.com';1;1.1;
'ne45@uniandes.edu.co';2;2.1;
'le39@uniandes.edu.co';3;NULL;
'wo12@yahoo.com';2;0.7;
'dove25@hotmail.com';3;3.2;
'feha8@hotmail.com';3;NULL;
'be2@yahoo.com';2;4.8;
'bi80@hotmail.com';3;4.2;
'dido12@yahoo.com';3;4.9;
'ge74@yahoo.com';2;1.2;
'maze17@uniandes.edu.co';3;1.6;
'tu44@uniandes.edu.co';1;3.0;
'di88@hotmail.com';2;1.2;
'pa75@uniandes.edu.co';1;NULL;
'no25@uniandes.edu.co';3;4.2;
'la58@gmail.com';2;4.4;
'cara50@uniandes.edu.co';1;NULL;
'le14@uniandes.edu.co';3;NULL;
'yaco45@hotmail.com';1;NULL;
'ne1@uniandes.edu.co';3;3.6;
'ko47@uniandes.edu.co';1;3.0;
'ja74@yahoo.com';1;4.4;
'nebu80@gmail.com';1;3.0;
'keha20@uniandes.edu.co';2;3.2;
'dawo4@yahoo.com';2;NULL;
'ge6@gmail.com';2;NULL;
'ru90@hotmail.com';1;3.6;
'nogo86@gmail.com';1;2.5;
'xa62@yahoo.com';3;2.7;
'ye86@gmail.com';2;NULL;
'ho76@hotmail.com';2;NULL;
'bu49@yahoo.com';2;1.6;
'ru37@yahoo.com';3;NULL;
'zuvo62@gmail.com';1;NULL;
'si97@uniandes.edu.co';1;4.5;
'nu39@uniandes.edu.co';1;4.3;
'bicu2@uniandes.edu.co';2;3.8;
'yo37@yahoo.com';1;NULL;
'rega66@uniandes.edu.co';1;3.1;
'base68@gmail.com';3;4.2;
'lu21@yahoo.com';2;1.9;
'ma32@hotmail.com';1;NULL;
'qi55@yahoo.com';3;3.4;
'luva89@hotmail.com';2;NULL;
'he41@uniandes.edu.co';2;1.6;
'pe43@hotmail.com';3;3.1;
'le81@hotmail.com';3;NULL;
'wika85@yahoo.com';3;NULL;
'ha94@yahoo.com';1;3.2;
'vahe77@uniandes.edu.co';3;NULL;
'cila87@hotmail.com';2;3.6;
'we7@yahoo.com';1;NULL;
'vopo87@gmail.com';2;2.7;
'teri38@uniandes.edu.co';1;2.4;
'hasa33@uniandes.edu.co';2;NULL;
'xo42@uniandes.edu.co';1;4.6;
'te47@gmail.com';3;NULL;
'zimi67@yahoo.com';3;0.6;
'ha31@yahoo.com';2;3.0;
'yumi76@uniandes.edu.co';3;NULL;
'cu72@uniandes.edu.co';2;NULL;
'si77@hotmail.com';3;4.2;
'ra93@hotmail.com';1;1.8;
'jo93@yahoo.com';2;0.4;
'gepi75@yahoo.com';2;NULL;
'tatu78@uniandes.edu.co';2;NULL;
'diso55@hotmail.com';3;NULL;
'gepo95@hotmail.com';2;NULL;
'ca29@hotmail.com';3;3.9;
'la52@yahoo.com';2;NULL;
'ta82@uniandes.edu.co';1;3.6;
'da2@yahoo.com';3;4.0;
'he76@gmail.com';2;1.5;
'pu30@yahoo.com';3;1.5;
'ze80@uniandes.edu.co';2;3.9;
'no60@gmail.com';2;NULL;
'qi25@yahoo.com';2;0.3;
'lo74@uniandes.edu.co';2;NULL;
'muwo20@hotmail.com';2;NULL;
'li66@gmail.com';2;NULL;
'ha8@gmail.com';2;0.5;
'pehi34@yahoo.com';1;0.6;
'toba59@hotmail.com';3;NULL;
'ro54@uniandes.edu.co';3;4.8;
'he43@gmail.com';1;0.5;
'buwo91@gmail.com';3;NULL;
'joce27@yahoo.com';1;NULL;
'ti77@hotmail.com';1;1.1;
'ji60@gmail.com';2;5.0;
'de41@gmail.com';3;2.3;
'je91@uniandes.edu.co';2;0.4;
'lu35@yahoo.com';1;NULL;
'naju54@hotmail.com';3;0.9;
'vi32@uniandes.edu.co';2;0.6;
'pisi20@hotmail.com';1;NULL;
'kule61@hotmail.com';2;NULL;
'le15@hotmail.com';3;3.7;
'xeti22@hotmail.com';2;NULL;
'fo69@uniandes.edu.co';1;NULL;
'legi72@yahoo.com';1;1.7;
'bu83@hotmail.com';1;4.9;
'joma58@gmail.com';3;NULL;
'kubi68@gmail.com';3;3.6;
'jicu34@uniandes.edu.co';3;1.2;
'nesa22@gmail.com';3;NULL;
'pe27@yahoo.com';2;0.9;
'mada85@hotmail.com';1;NULL;
'wowa37@gmail.com';2;NULL;
'ka99@hotmail.com';1;3.9;
'kidi99@hotmail.com';1;NULL;
'hibe59@hotmail.com';1;4.5;
'lise59@yahoo.com';3;NULL;
'yobu41@gmail.com';1;0.6;
'pi46@gmail.com';3;NULL;
'he97@uniandes.edu.co';1;3.7;
'vi95@hotmail.com';1;2.7;
'niho90@uniandes.edu.co';1;1.7;
'fu26@gmail.com';1;4.6;
'diki67@yahoo.com';3;4.6;
'xuke4@hotmail.com';3;NULL;
'we17@uniandes.edu.co';2;0.0;
'dese91@hotmail.com';2;NULL;
'lo65@gmail.com';2;NULL;
'wije11@yahoo.com';1;NULL;
'ra71@gmail.com';1;0.1;
'hibe49@hotmail.com';3;1.0;
'ni72@yahoo.com';2;2.8;
'mala37@gmail.com';3;NULL;
'tuge53@hotmail.com';2;2.6;
'gare89@uniandes.edu.co';1;4.2;
'xosi62@uniandes.edu.co';3;3.8;
'cava37@gmail.com';2;4.0;
'la61@hotmail.com';1;3.1;
'ne85@uniandes.edu.co';3;2.4;
'luqi10@uniandes.edu.co';1;3.2;
'ka4@yahoo.com';1;NULL;
'ka70@gmail.com';2;2.0;
'si36@uniandes.edu.co';3;1.0;
'ma71@uniandes.edu.co';2;2.3;
'rubi31@hotmail.com';1;1.4;
'nizi54@hotmail.com';1;2.4;
'be58@yahoo.com';2;NULL;
'buzu59@uniandes.edu.co';1;NULL;
'quxo70@hotmail.com';1;NULL;
'hoya98@gmail.com';2;1.0;
'xa22@yahoo.com';2;2.6;
'zave21@yahoo.com';3;2.6;
'ya23@hotmail.com';3;NULL;
'ha93@gmail.com';3;4.0;
'da33@uniandes.edu.co';1;0.2;
'su65@gmail.com';2;NULL;
'fiji27@yahoo.com';3;NULL;
'we87@uniandes.edu.co';3;NULL;
'deto13@gmail.com';3;NULL;
'ni82@gmail.com';1;1.9;
'ho77@gmail.com';3;NULL;
'pu88@yahoo.com';1;3.7;
'newu42@yahoo.com';1;0.3;
'ra78@gmail.com';3;3.2;
'vabu71@gmail.com';3;3.6;
'roya1@hotmail.com';2;NULL;
'coti77@hotmail.com';3;1.2;
'fa54@hotmail.com';1;3.2;
'nihu12@uniandes.edu.co';3;0.8;
'puco70@gmail.com';3;NULL;
'ku17@hotmail.com';2;0.2;
'bo76@gmail.com';3;NULL;
'jica34@gmail.com';3;2.1;
'sewi54@gmail.com';2;3.7;
'love59@hotmail.com';1;NULL;
'zohu4@hotmail.com';3;3.9;
'hofe67@yahoo.com';3;NULL;
'ma13@hotmail.com';3;1.8;
'ha96@gmail.com';3;NULL;
'qa3@hotmail.com';1;4.3;
'gilo74@uniandes.edu.co';2;2.6;
'pi86@hotmail.com';1;4.4;
'fe39@gmail.com';2;5.0;
'ro84@uniandes.edu.co';3;0.0;
'qeso87@hotmail.com';3;NULL;
'mu39@uniandes.edu.co';1;2.9;
'nohu78@uniandes.edu.co';3;NULL;
'xe94@yahoo.com';3;4.6;
'tovu91@hotmail.com';1;NULL;
'viji38@gmail.com';3;NULL;
'bu90@yahoo.com';3;1.1;
'qe43@yahoo.com';1;1.4;
'beve98@uniandes.edu.co';3;NULL;
'liju47@hotmail.com';2;NULL;
'zu78@gmail.com';3;4.7;
'zavu70@yahoo.com';2;NULL;
'mi57@uniandes.edu.co';1;0.9;
'qoyi53@hotmail.com';1;3.0;
'yo67@yahoo.com';2;4.1;
'bo79@uniandes.edu.co';2;1.7;
'wi77@yahoo.com';2;NULL;
'bi29@uniandes.edu.co';3;2.6;
'vasi76@uniandes.edu.co';2;NULL;
'pimo68@uniandes.edu.co';3;2.9;
'we10@hotmail.com';1;0.0;
'cogo46@hotmail.com';2;0.8;
'se53@yahoo.com';2;2.7;
'te74@uniandes.edu.co';3;4.8;
'tipo84@gmail.com';3;3.4;
'yoda43@hotmail.com';3;NULL;
'yu9@hotmail.com';1;2.3;
'ho91@hotmail.com';1;0.4;
'ji13@gmail.com';1;1.1;
'nuxo9@hotmail.com';2;4.3;
'nalu19@hotmail.com';2;3.5;
'fu95@hotmail.com';2;NULL;
'se1@yahoo.com';1;NULL;
'vuxe22@uniandes.edu.co';1;0.5;
'nu48@yahoo.com';2;NULL;
'ne13@yahoo.com';2;NULL;
'bega73@uniandes.edu.co';3;0.6;
'kexe46@hotmail.com';3;3.9;
'vufo79@gmail.com';3;2.8;
'xe51@yahoo.com';1;NULL;
'wune28@hotmail.com';3;1.0;
'be80@hotmail.com';1;4.5;
'ga53@uniandes.edu.co';1;2.8;
'ke29@yahoo.com';3;2.0;
'ku27@yahoo.com';1;NULL;
'lo21@uniandes.edu.co';2;2.4;
'joja3@yahoo.com';2;NULL;
'xake12@hotmail.com';2;NULL;
'xise91@yahoo.com';1;0.3;
'hu85@gmail.com';2;NULL;
'ye75@uniandes.edu.co';2;NULL;
'wi66@gmail.com';1;0.2;
'foso85@yahoo.com';1;NULL;
'xi45@yahoo.com';1;NULL;
'wa31@gmail.com';3;4.9;
'jizo3@uniandes.edu.co';1;2.6;
'he63@yahoo.com';2;4.8;
'hi19@uniandes.edu.co';2;NULL;
'dehu81@hotmail.com';3;2.8;
'govu1@yahoo.com';1;0.6;
'ko33@uniandes.edu.co';1;1.8;
'yu69@gmail.com';2;2.8;
'nege7@uniandes.edu.co';2;3.0;
'tayi37@uniandes.edu.co';2;NULL;
'qaje45@uniandes.edu.co';3;1.6;
'yiho63@yahoo.com';2;NULL;
'mori97@yahoo.com';3;2.3;
'zoki41@hotmail.com';2;NULL;
'copi32@uniandes.edu.co';2;3.5;
'zoda5@uniandes.edu.co';1;NULL;
'mena58@yahoo.com';3;NULL;
'da48@uniandes.edu.co';1;4.0;
'tame43@hotmail.com';3;NULL;
'bu25@hotmail.com';3;2.5;
'capi41@hotmail.com';2;2.5;
'ku86@yahoo.com';3;2.7;
'qi56@gmail.com';2;3.8;
'zape76@uniandes.edu.co';3;NULL;
'ruwu50@gmail.com';2;4.2;
'nu93@gmail.com';3;1.9;
'xe86@uniandes.edu.co';3;3.5;
'ce63@yahoo.com';3;NULL;
'lo49@yahoo.com';1;NULL;
'qili43@gmail.com';2;NULL;
'meba95@yahoo.com';2;1.7;
'sine76@gmail.com';3;2.9;
'vide96@hotmail.com';1;0.1;
'liyu94@gmail.com';2;0.6;
'cite92@uniandes.edu.co';1;1.5;
'toye1@hotmail.com';2;0.9;
'biwo26@uniandes.edu.co';1;4.7;
'xofa16@hotmail.com';1;2.2;
'tofa26@uniandes.edu.co';2;0.9;
'lida54@gmail.com';2;3.9;
'ko35@gmail.com';2;NULL;
'ca61@gmail.com';2;4.9;
'fi95@uniandes.edu.co';2;NULL;
'viki28@uniandes.edu.co';3;4.5;
'qa21@uniandes.edu.co';1;2.8;
'semi82@hotmail.com';2;NULL;
