NUMERO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD_SOLICITADA;CANTIDAD_RECIBIDA;COD_PROVEEDOR_ELEGIDO;FECHA_CREACION;FECHA_MAXIMA_PROPUESTAS;FECHA_ESPERADA_ENTREGA;FECHA_ENTREGA;CALIFICACION_ENTREGA;HA_SIDO_ELEGIDA;HA_SIDO_SATISFECHA;
4073504;31;27;8;0;NULL;TO_DATE('2014-02-19','YYYY-MM-DD');TO_TIMESTAMP('2014-02-26 11:11:48','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4130883;67;6;1;0;'wika85@yahoo.com';TO_DATE('2014-02-25','YYYY-MM-DD');TO_TIMESTAMP('2014-03-02 22:57:39','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-03-14','YYYY-MM-DD');NULL;NULL;'Si';'No';
3048080;39;16;18;0;NULL;TO_DATE('2013-10-15','YYYY-MM-DD');TO_TIMESTAMP('2013-10-25 10:05:11','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
3840713;25;28;15;0;NULL;TO_DATE('2014-03-01','YYYY-MM-DD');TO_TIMESTAMP('2014-03-06 14:57:18','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
5154793;4;13;9;0;NULL;TO_DATE('2013-06-14','YYYY-MM-DD');TO_TIMESTAMP('2013-06-15 22:53:24','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
6073101;10;27;11;17;'ra55@hotmail.com';TO_DATE('2013-10-10','YYYY-MM-DD');TO_TIMESTAMP('2013-10-11 20:19:51','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-10-18','YYYY-MM-DD');TO_DATE('2013-10-19','YYYY-MM-DD');4;'Si';'Si';
1797684;52;25;20;0;NULL;TO_DATE('2013-12-21','YYYY-MM-DD');TO_TIMESTAMP('2013-12-29 09:03:57','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
7942078;68;8;4;0;NULL;TO_DATE('2014-03-05','YYYY-MM-DD');TO_TIMESTAMP('2014-03-16 15:51:17','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
7134950;72;7;1;0;NULL;TO_DATE('2013-09-03','YYYY-MM-DD');TO_TIMESTAMP('2013-09-05 02:27:25','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
1806290;69;1;2;3;'ta61@hotmail.com';TO_DATE('2014-04-08','YYYY-MM-DD');TO_TIMESTAMP('2014-04-09 21:20:01','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-04-23','YYYY-MM-DD');TO_DATE('2014-04-19','YYYY-MM-DD');5;'Si';'Si';
8519980;48;29;4;5;'ti32@hotmail.com';TO_DATE('2013-05-19','YYYY-MM-DD');TO_TIMESTAMP('2013-05-26 17:37:40','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-06-07','YYYY-MM-DD');TO_DATE('2013-06-03','YYYY-MM-DD');5;'Si';'Si';
1711651;19;17;6;0;NULL;TO_DATE('2013-06-06','YYYY-MM-DD');TO_TIMESTAMP('2013-06-07 15:17:11','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
9724376;10;17;9;0;NULL;TO_DATE('2014-03-12','YYYY-MM-DD');TO_TIMESTAMP('2014-03-18 04:58:28','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4548154;67;9;19;0;NULL;TO_DATE('2014-03-19','YYYY-MM-DD');TO_TIMESTAMP('2014-03-22 17:08:31','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
8115567;51;22;11;11;'rojo26@yahoo.com';TO_DATE('2013-06-25','YYYY-MM-DD');TO_TIMESTAMP('2013-06-30 20:47:27','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-07-15','YYYY-MM-DD');TO_DATE('2013-07-13','YYYY-MM-DD');5;'Si';'Si';
9872383;7;14;2;2;'ki59@uniandes.edu.co';TO_DATE('2013-12-03','YYYY-MM-DD');TO_TIMESTAMP('2013-12-12 09:03:49','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-12-19','YYYY-MM-DD');TO_DATE('2013-12-24','YYYY-MM-DD');0;'Si';'Si';
8793236;55;13;19;0;NULL;TO_DATE('2013-05-20','YYYY-MM-DD');TO_TIMESTAMP('2013-05-28 17:24:28','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
8423624;8;13;4;4;'wete38@uniandes.edu.co';TO_DATE('2013-04-24','YYYY-MM-DD');TO_TIMESTAMP('2013-04-27 07:50:21','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-05-06','YYYY-MM-DD');TO_DATE('2013-05-08','YYYY-MM-DD');3;'Si';'Si';
9231166;22;14;11;12;'voro10@yahoo.com';TO_DATE('2013-11-23','YYYY-MM-DD');TO_TIMESTAMP('2013-12-02 06:59:03','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-12-13','YYYY-MM-DD');TO_DATE('2013-12-11','YYYY-MM-DD');5;'Si';'Si';
394124;72;5;6;0;'seci65@gmail.com';TO_DATE('2014-03-31','YYYY-MM-DD');TO_TIMESTAMP('2014-04-08 23:03:58','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-04-17','YYYY-MM-DD');NULL;NULL;'Si';'No';
8788593;69;6;2;0;NULL;TO_DATE('2013-04-28','YYYY-MM-DD');TO_TIMESTAMP('2013-05-03 05:16:37','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4111815;16;21;16;0;NULL;TO_DATE('2013-11-01','YYYY-MM-DD');TO_TIMESTAMP('2013-11-08 02:01:59','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
9072701;70;1;11;11;'fe46@gmail.com';TO_DATE('2014-03-18','YYYY-MM-DD');TO_TIMESTAMP('2014-03-19 17:58:49','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-04-03','YYYY-MM-DD');TO_DATE('2014-04-01','YYYY-MM-DD');5;'Si';'Si';
3902979;72;10;17;0;NULL;TO_DATE('2013-09-28','YYYY-MM-DD');TO_TIMESTAMP('2013-09-30 21:25:43','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
8493133;58;29;9;11;'de31@hotmail.com';TO_DATE('2013-08-15','YYYY-MM-DD');TO_TIMESTAMP('2013-08-21 21:00:48','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-08-29','YYYY-MM-DD');TO_DATE('2013-08-25','YYYY-MM-DD');5;'Si';'Si';
2937387;24;13;6;0;NULL;TO_DATE('2013-08-12','YYYY-MM-DD');TO_TIMESTAMP('2013-08-19 16:07:22','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
6679758;26;26;4;0;NULL;TO_DATE('2013-07-23','YYYY-MM-DD');TO_TIMESTAMP('2013-08-01 07:51:26','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
9724125;4;18;5;0;'xo42@uniandes.edu.co';TO_DATE('2013-09-16','YYYY-MM-DD');TO_TIMESTAMP('2013-09-27 05:44:56','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-10-11','YYYY-MM-DD');NULL;NULL;'Si';'No';
9436882;47;15;8;0;'voha55@uniandes.edu.co';TO_DATE('2013-11-22','YYYY-MM-DD');TO_TIMESTAMP('2013-11-27 00:58:09','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-12-12','YYYY-MM-DD');NULL;NULL;'Si';'No';
3533123;28;28;11;0;'qozo89@gmail.com';TO_DATE('2013-11-01','YYYY-MM-DD');TO_TIMESTAMP('2013-11-02 13:41:57','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-11-17','YYYY-MM-DD');NULL;NULL;'Si';'No';
4821638;12;20;2;0;'davo32@uniandes.edu.co';TO_DATE('2014-02-20','YYYY-MM-DD');TO_TIMESTAMP('2014-03-01 21:59:47','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-03-14','YYYY-MM-DD');NULL;NULL;'Si';'No';
7306785;58;13;20;0;NULL;TO_DATE('2014-03-25','YYYY-MM-DD');TO_TIMESTAMP('2014-03-29 14:19:56','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
3051666;5;30;5;0;NULL;TO_DATE('2013-07-20','YYYY-MM-DD');TO_TIMESTAMP('2013-07-27 21:37:46','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4811799;70;7;14;0;NULL;TO_DATE('2014-02-23','YYYY-MM-DD');TO_TIMESTAMP('2014-03-04 14:30:57','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4934547;53;27;9;0;'ka20@gmail.com';TO_DATE('2013-05-05','YYYY-MM-DD');TO_TIMESTAMP('2013-05-16 15:43:27','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-05-25','YYYY-MM-DD');NULL;NULL;'Si';'No';
5999882;33;25;16;0;NULL;TO_DATE('2013-11-17','YYYY-MM-DD');TO_TIMESTAMP('2013-11-27 05:07:45','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
8956455;67;9;15;0;NULL;TO_DATE('2013-12-09','YYYY-MM-DD');TO_TIMESTAMP('2013-12-14 20:14:45','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
1406588;56;20;12;0;NULL;TO_DATE('2013-06-01','YYYY-MM-DD');TO_TIMESTAMP('2013-06-03 13:52:51','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
2424075;60;28;14;0;NULL;TO_DATE('2013-07-06','YYYY-MM-DD');TO_TIMESTAMP('2013-07-16 05:26:10','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
6938427;70;6;18;0;NULL;TO_DATE('2013-05-20','YYYY-MM-DD');TO_TIMESTAMP('2013-05-22 13:07:32','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
2248983;67;3;1;0;NULL;TO_DATE('2014-04-19','YYYY-MM-DD');TO_TIMESTAMP('2014-04-26 23:15:54','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
2365379;51;23;14;0;NULL;TO_DATE('2014-02-11','YYYY-MM-DD');TO_TIMESTAMP('2014-02-15 23:31:27','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
6259971;35;23;16;0;NULL;TO_DATE('2013-09-19','YYYY-MM-DD');TO_TIMESTAMP('2013-09-20 12:06:10','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
8697537;57;14;1;1;'yape22@uniandes.edu.co';TO_DATE('2013-05-02','YYYY-MM-DD');TO_TIMESTAMP('2013-05-04 08:36:04','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-05-19','YYYY-MM-DD');TO_DATE('2013-05-23','YYYY-MM-DD');1;'Si';'Si';
612634;45;14;8;12;'hepa83@gmail.com';TO_DATE('2013-08-10','YYYY-MM-DD');TO_TIMESTAMP('2013-08-13 01:20:21','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-08-21','YYYY-MM-DD');TO_DATE('2013-08-25','YYYY-MM-DD');1;'Si';'Si';
1130023;69;9;2;0;NULL;TO_DATE('2013-08-07','YYYY-MM-DD');TO_TIMESTAMP('2013-08-09 05:00:30','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
1053015;62;24;20;0;NULL;TO_DATE('2014-01-19','YYYY-MM-DD');TO_TIMESTAMP('2014-01-30 15:26:19','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
5319114;59;12;1;2;'va21@hotmail.com';TO_DATE('2014-02-10','YYYY-MM-DD');TO_TIMESTAMP('2014-02-20 07:42:23','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-03-03','YYYY-MM-DD');TO_DATE('2014-03-08','YYYY-MM-DD');0;'Si';'Si';
9472792;7;30;1;2;'ka96@gmail.com';TO_DATE('2014-04-04','YYYY-MM-DD');TO_TIMESTAMP('2014-04-07 00:54:58','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-04-21','YYYY-MM-DD');TO_DATE('2014-04-23','YYYY-MM-DD');3;'Si';'Si';
3140560;60;23;1;0;NULL;TO_DATE('2014-02-07','YYYY-MM-DD');TO_TIMESTAMP('2014-02-10 17:04:21','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
867671;72;8;6;0;NULL;TO_DATE('2014-04-03','YYYY-MM-DD');TO_TIMESTAMP('2014-04-04 00:08:20','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4735921;56;25;5;0;'taya99@yahoo.com';TO_DATE('2013-06-05','YYYY-MM-DD');TO_TIMESTAMP('2013-06-12 13:01:33','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-06-24','YYYY-MM-DD');NULL;NULL;'Si';'No';
4685623;57;19;5;0;NULL;TO_DATE('2013-05-14','YYYY-MM-DD');TO_TIMESTAMP('2013-05-23 07:29:55','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
3945603;70;1;15;0;NULL;TO_DATE('2013-11-12','YYYY-MM-DD');TO_TIMESTAMP('2013-11-14 15:29:50','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4297637;17;16;20;0;NULL;TO_DATE('2014-01-30','YYYY-MM-DD');TO_TIMESTAMP('2014-02-07 05:30:39','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
3653874;16;30;10;0;NULL;TO_DATE('2014-02-06','YYYY-MM-DD');TO_TIMESTAMP('2014-02-15 22:13:34','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
1490499;68;4;4;6;'cida42@uniandes.edu.co';TO_DATE('2014-03-28','YYYY-MM-DD');TO_TIMESTAMP('2014-04-03 04:24:38','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-04-12','YYYY-MM-DD');TO_DATE('2014-04-10','YYYY-MM-DD');5;'Si';'Si';
8091979;72;8;7;0;NULL;TO_DATE('2013-09-21','YYYY-MM-DD');TO_TIMESTAMP('2013-09-30 13:04:13','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
7931997;42;25;12;0;NULL;TO_DATE('2014-03-10','YYYY-MM-DD');TO_TIMESTAMP('2014-03-19 06:37:26','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
5260249;45;19;2;0;'peju5@hotmail.com';TO_DATE('2014-04-06','YYYY-MM-DD');TO_TIMESTAMP('2014-04-15 16:43:55','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-04-25','YYYY-MM-DD');NULL;NULL;'Si';'No';
6070522;53;12;12;0;NULL;TO_DATE('2014-02-18','YYYY-MM-DD');TO_TIMESTAMP('2014-02-25 04:26:32','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
6447547;71;10;19;37;'weci58@uniandes.edu.co';TO_DATE('2014-02-04','YYYY-MM-DD');TO_TIMESTAMP('2014-02-12 23:42:07','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-02-19','YYYY-MM-DD');TO_DATE('2014-02-14','YYYY-MM-DD');5;'Si';'Si';
341329;27;15;17;17;'yifo50@gmail.com';TO_DATE('2013-10-04','YYYY-MM-DD');TO_TIMESTAMP('2013-10-14 00:38:22','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-10-21','YYYY-MM-DD');TO_DATE('2013-10-22','YYYY-MM-DD');4;'Si';'Si';
3607786;70;2;7;0;NULL;TO_DATE('2014-03-10','YYYY-MM-DD');TO_TIMESTAMP('2014-03-14 17:02:12','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
9812107;69;10;16;0;NULL;TO_DATE('2014-03-06','YYYY-MM-DD');TO_TIMESTAMP('2014-03-16 13:45:33','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
482085;67;8;20;0;'civu92@hotmail.com';TO_DATE('2013-10-03','YYYY-MM-DD');TO_TIMESTAMP('2013-10-09 13:20:13','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-10-24','YYYY-MM-DD');NULL;NULL;'Si';'No';
4415529;53;15;18;22;'fu44@gmail.com';TO_DATE('2013-05-26','YYYY-MM-DD');TO_TIMESTAMP('2013-06-04 15:59:58','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-06-15','YYYY-MM-DD');TO_DATE('2013-06-16','YYYY-MM-DD');4;'Si';'Si';
2395733;68;9;5;0;NULL;TO_DATE('2014-01-31','YYYY-MM-DD');TO_TIMESTAMP('2014-02-03 07:41:42','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
9659755;68;9;17;0;NULL;TO_DATE('2013-11-13','YYYY-MM-DD');TO_TIMESTAMP('2013-11-23 23:25:45','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
1202733;17;11;14;0;NULL;TO_DATE('2013-08-22','YYYY-MM-DD');TO_TIMESTAMP('2013-08-24 08:09:08','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
5957157;56;11;2;2;'la52@yahoo.com';TO_DATE('2013-06-11','YYYY-MM-DD');TO_TIMESTAMP('2013-06-16 08:51:37','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-06-24','YYYY-MM-DD');TO_DATE('2013-06-25','YYYY-MM-DD');4;'Si';'Si';
6214795;70;4;16;0;NULL;TO_DATE('2014-04-15','YYYY-MM-DD');TO_TIMESTAMP('2014-04-22 16:22:13','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
8961172;7;29;9;0;NULL;TO_DATE('2014-03-06','YYYY-MM-DD');TO_TIMESTAMP('2014-03-11 08:47:40','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
9804553;60;17;4;5;'tu21@hotmail.com';TO_DATE('2013-11-28','YYYY-MM-DD');TO_TIMESTAMP('2013-12-07 08:03:24','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-12-18','YYYY-MM-DD');TO_DATE('2013-12-13','YYYY-MM-DD');5;'Si';'Si';
5317987;3;29;8;8;'pa75@uniandes.edu.co';TO_DATE('2014-01-25','YYYY-MM-DD');TO_TIMESTAMP('2014-01-27 09:01:41','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-02-11','YYYY-MM-DD');TO_DATE('2014-02-13','YYYY-MM-DD');3;'Si';'Si';
4361909;48;26;12;12;'de23@hotmail.com';TO_DATE('2013-12-09','YYYY-MM-DD');TO_TIMESTAMP('2013-12-12 22:19:48','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-12-19','YYYY-MM-DD');TO_DATE('2013-12-17','YYYY-MM-DD');5;'Si';'Si';
4531830;54;17;17;0;NULL;TO_DATE('2014-01-12','YYYY-MM-DD');TO_TIMESTAMP('2014-01-20 04:09:44','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
499862;72;9;16;0;NULL;TO_DATE('2013-12-29','YYYY-MM-DD');TO_TIMESTAMP('2014-01-01 03:18:11','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
8986175;60;29;5;0;NULL;TO_DATE('2013-11-07','YYYY-MM-DD');TO_TIMESTAMP('2013-11-10 10:11:37','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
5871568;3;19;12;0;NULL;TO_DATE('2013-06-04','YYYY-MM-DD');TO_TIMESTAMP('2013-06-06 03:56:00','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
6434166;5;23;12;0;NULL;TO_DATE('2014-02-03','YYYY-MM-DD');TO_TIMESTAMP('2014-02-12 13:21:35','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4758939;65;21;8;9;'bicu2@uniandes.edu.co';TO_DATE('2013-06-26','YYYY-MM-DD');TO_TIMESTAMP('2013-07-05 15:33:49','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-07-19','YYYY-MM-DD');TO_DATE('2013-07-18','YYYY-MM-DD');5;'Si';'Si';
8399156;14;11;14;0;NULL;TO_DATE('2014-01-21','YYYY-MM-DD');TO_TIMESTAMP('2014-01-23 04:23:48','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
8975456;66;30;1;0;NULL;TO_DATE('2014-01-04','YYYY-MM-DD');TO_TIMESTAMP('2014-01-04 23:49:33','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
